data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape:  (1000, 11271, 6)
y_train.shape:  (1000, 11271, 1)
initial L=[4.0, 4.0],should_learn_L=True
In GeoFNO_train, ndim =  2
Epoch :  0  Rel. Train L2 Loss :  0.10093305003643036  Rel. Test L2 Loss :  0.07944990217685699  Test L2 Loss :  0.06570058107376099  Time :  23.55863642692566  L:  [3.996544599533081, 3.996889352798462]
Epoch :  1  Rel. Train L2 Loss :  0.0731805053949356  Rel. Test L2 Loss :  0.06326196134090424  Test L2 Loss :  0.05231640577316284  Time :  16.21000099182129  L:  [3.996410608291626, 3.9959871768951416]
Epoch :  2  Rel. Train L2 Loss :  0.060793082118034365  Rel. Test L2 Loss :  0.05243539541959762  Test L2 Loss :  0.04335018575191498  Time :  16.306561946868896  L:  [3.9963831901550293, 3.992192029953003]
Epoch :  3  Rel. Train L2 Loss :  0.04957274043560028  Rel. Test L2 Loss :  0.04772940278053284  Test L2 Loss :  0.03944657981395722  Time :  16.394668340682983  L:  [3.9965980052948, 3.9915692806243896]
Epoch :  4  Rel. Train L2 Loss :  0.04416264170408249  Rel. Test L2 Loss :  0.03922462284564972  Test L2 Loss :  0.032440024316310885  Time :  16.53260827064514  L:  [3.996762752532959, 3.990462303161621]
Epoch :  5  Rel. Train L2 Loss :  0.03938899117708206  Rel. Test L2 Loss :  0.034933457970619204  Test L2 Loss :  0.028883869051933287  Time :  16.60915446281433  L:  [3.996201515197754, 3.9903573989868164]
Epoch :  6  Rel. Train L2 Loss :  0.03128261882066727  Rel. Test L2 Loss :  0.031928222775459286  Test L2 Loss :  0.0263772414624691  Time :  16.635342597961426  L:  [3.995893716812134, 3.9901466369628906]
Epoch :  7  Rel. Train L2 Loss :  0.031850564897060396  Rel. Test L2 Loss :  0.03305911958217621  Test L2 Loss :  0.02733340159058571  Time :  16.641138792037964  L:  [3.996500015258789, 3.9897637367248535]
Epoch :  8  Rel. Train L2 Loss :  0.030580302625894548  Rel. Test L2 Loss :  0.0304918110370636  Test L2 Loss :  0.025213416814804077  Time :  16.5391685962677  L:  [3.9963719844818115, 3.9902637004852295]
Epoch :  9  Rel. Train L2 Loss :  0.031045856088399888  Rel. Test L2 Loss :  0.028103288412094116  Test L2 Loss :  0.02321501702070236  Time :  16.478764057159424  L:  [3.9962058067321777, 3.9902055263519287]
Epoch :  10  Rel. Train L2 Loss :  0.02601449078321457  Rel. Test L2 Loss :  0.022520971447229386  Test L2 Loss :  0.01861583545804024  Time :  16.45439052581787  L:  [3.996323347091675, 3.9900763034820557]
Epoch :  11  Rel. Train L2 Loss :  0.0240444158911705  Rel. Test L2 Loss :  0.022887254208326338  Test L2 Loss :  0.018921745866537096  Time :  16.4887056350708  L:  [3.9961607456207275, 3.990220546722412]
Epoch :  12  Rel. Train L2 Loss :  0.026295819371938707  Rel. Test L2 Loss :  0.03280136704444885  Test L2 Loss :  0.027098788619041442  Time :  16.53342890739441  L:  [3.996519088745117, 3.9895453453063965]
Epoch :  13  Rel. Train L2 Loss :  0.02506180953979492  Rel. Test L2 Loss :  0.02078837513923645  Test L2 Loss :  0.017186521887779235  Time :  16.592985153198242  L:  [3.996230125427246, 3.9896490573883057]
Epoch :  14  Rel. Train L2 Loss :  0.022929500311613085  Rel. Test L2 Loss :  0.021216892302036286  Test L2 Loss :  0.01754341706633568  Time :  16.62065815925598  L:  [3.9961628913879395, 3.9900553226470947]
Epoch :  15  Rel. Train L2 Loss :  0.026007362306118012  Rel. Test L2 Loss :  0.021574502289295198  Test L2 Loss :  0.017846119701862336  Time :  16.649139165878296  L:  [3.9966864585876465, 3.9900424480438232]
Epoch :  16  Rel. Train L2 Loss :  0.022147392332553865  Rel. Test L2 Loss :  0.022591421753168105  Test L2 Loss :  0.01868240848183632  Time :  16.64624285697937  L:  [3.9960122108459473, 3.990182876586914]
Epoch :  17  Rel. Train L2 Loss :  0.023516535460948944  Rel. Test L2 Loss :  0.024372363090515138  Test L2 Loss :  0.020163018703460694  Time :  16.553064584732056  L:  [3.9960293769836426, 3.989795446395874]
Epoch :  18  Rel. Train L2 Loss :  0.023829413533210754  Rel. Test L2 Loss :  0.022639321833848952  Test L2 Loss :  0.018707046955823897  Time :  16.5080406665802  L:  [3.996137857437134, 3.989999771118164]
Epoch :  19  Rel. Train L2 Loss :  0.022429544180631637  Rel. Test L2 Loss :  0.019891312271356584  Test L2 Loss :  0.016438618451356888  Time :  16.489644765853882  L:  [3.9965155124664307, 3.9901323318481445]
Epoch :  20  Rel. Train L2 Loss :  0.021803245961666107  Rel. Test L2 Loss :  0.018725691288709642  Test L2 Loss :  0.01548516795039177  Time :  16.503662109375  L:  [3.9962363243103027, 3.9899520874023438]
Epoch :  21  Rel. Train L2 Loss :  0.022226653903722762  Rel. Test L2 Loss :  0.023925376981496813  Test L2 Loss :  0.019778023660182952  Time :  16.531938552856445  L:  [3.9961459636688232, 3.9901909828186035]
Epoch :  22  Rel. Train L2 Loss :  0.020729255735874176  Rel. Test L2 Loss :  0.019024146795272825  Test L2 Loss :  0.015724185109138488  Time :  16.57997465133667  L:  [3.996769428253174, 3.989647626876831]
Epoch :  23  Rel. Train L2 Loss :  0.02229403832554817  Rel. Test L2 Loss :  0.017152387499809265  Test L2 Loss :  0.014182549268007279  Time :  16.60680317878723  L:  [3.9964053630828857, 3.9900877475738525]
Epoch :  24  Rel. Train L2 Loss :  0.020732094764709472  Rel. Test L2 Loss :  0.02524064660072327  Test L2 Loss :  0.020882620364427566  Time :  16.62144660949707  L:  [3.9958667755126953, 3.9904799461364746]
Epoch :  25  Rel. Train L2 Loss :  0.021901194840669633  Rel. Test L2 Loss :  0.02449754297733307  Test L2 Loss :  0.02026388555765152  Time :  16.638010263442993  L:  [3.9958183765411377, 3.9894113540649414]
Epoch :  26  Rel. Train L2 Loss :  0.021610402941703796  Rel. Test L2 Loss :  0.020442550331354142  Test L2 Loss :  0.0169127656519413  Time :  16.62889552116394  L:  [3.995997428894043, 3.989454507827759]
Epoch :  27  Rel. Train L2 Loss :  0.01968723517656326  Rel. Test L2 Loss :  0.019604046791791917  Test L2 Loss :  0.016209807246923447  Time :  16.61075448989868  L:  [3.9962100982666016, 3.9901342391967773]
Epoch :  28  Rel. Train L2 Loss :  0.017638411223888397  Rel. Test L2 Loss :  0.02335758924484253  Test L2 Loss :  0.019326871931552886  Time :  16.576032400131226  L:  [3.9963786602020264, 3.9893438816070557]
Epoch :  29  Rel. Train L2 Loss :  0.018785897940397263  Rel. Test L2 Loss :  0.020873086452484133  Test L2 Loss :  0.017258459776639937  Time :  16.5626540184021  L:  [3.996516704559326, 3.989285707473755]
Epoch :  30  Rel. Train L2 Loss :  0.021845795154571534  Rel. Test L2 Loss :  0.0189438234269619  Test L2 Loss :  0.015653766691684723  Time :  16.55574107170105  L:  [3.996112108230591, 3.9905030727386475]
Epoch :  31  Rel. Train L2 Loss :  0.02009052190184593  Rel. Test L2 Loss :  0.021421504318714143  Test L2 Loss :  0.017707751095294953  Time :  16.546896934509277  L:  [3.9962315559387207, 3.9894914627075195]
Epoch :  32  Rel. Train L2 Loss :  0.01855491033196449  Rel. Test L2 Loss :  0.017522971481084823  Test L2 Loss :  0.0144807468354702  Time :  16.560842275619507  L:  [3.996201515197754, 3.989935874938965]
Epoch :  33  Rel. Train L2 Loss :  0.018568273097276686  Rel. Test L2 Loss :  0.021260309517383575  Test L2 Loss :  0.017569168657064437  Time :  16.591127157211304  L:  [3.996746301651001, 3.9896950721740723]
Epoch :  34  Rel. Train L2 Loss :  0.019302347242832182  Rel. Test L2 Loss :  0.02050921842455864  Test L2 Loss :  0.01696320042014122  Time :  16.601623058319092  L:  [3.996626615524292, 3.9897425174713135]
Epoch :  35  Rel. Train L2 Loss :  0.023213668704032898  Rel. Test L2 Loss :  0.019202778190374373  Test L2 Loss :  0.01586928442120552  Time :  16.613629579544067  L:  [3.9968924522399902, 3.989569902420044]
