data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (221, 51) (221, 51)
x_train.shape:  (1000, 11271, 6)
y_train.shape:  (1000, 11271, 1)
In GeoFNO_train, ndim =  2
Epoch :  0  Rel. Train L2 Loss :  0.114426438331604  Rel. Test L2 Loss :  0.10493115425109863  Test L2 Loss :  0.08668591916561126  Time :  20.004536867141724  L:  [0.9941097497940063, 1.010764718055725]
Epoch :  1  Rel. Train L2 Loss :  0.10229472434520721  Rel. Test L2 Loss :  0.09776398539543152  Test L2 Loss :  0.08085677981376647  Time :  16.187705278396606  L:  [0.9935389757156372, 1.0162677764892578]
Epoch :  2  Rel. Train L2 Loss :  0.10080850768089294  Rel. Test L2 Loss :  0.09817732214927673  Test L2 Loss :  0.08117713630199433  Time :  16.314836263656616  L:  [0.9920211434364319, 1.0170857906341553]
Epoch :  3  Rel. Train L2 Loss :  0.1011931678056717  Rel. Test L2 Loss :  0.09741918802261353  Test L2 Loss :  0.08056948125362397  Time :  16.485337734222412  L:  [0.9915817975997925, 1.0176405906677246]
Epoch :  4  Rel. Train L2 Loss :  0.10088987541198731  Rel. Test L2 Loss :  0.09738904714584351  Test L2 Loss :  0.0805428284406662  Time :  16.68384075164795  L:  [0.9907934069633484, 1.0179343223571777]
Epoch :  5  Rel. Train L2 Loss :  0.10055785024166107  Rel. Test L2 Loss :  0.09829681336879731  Test L2 Loss :  0.08126531600952148  Time :  16.878225564956665  L:  [0.990623950958252, 1.018277883529663]
Epoch :  6  Rel. Train L2 Loss :  0.10053774297237396  Rel. Test L2 Loss :  0.09727753341197967  Test L2 Loss :  0.08045209646224975  Time :  16.9096360206604  L:  [0.9902682900428772, 1.0185261964797974]
Epoch :  7  Rel. Train L2 Loss :  0.10071581125259399  Rel. Test L2 Loss :  0.09804974377155304  Test L2 Loss :  0.08107254385948182  Time :  16.5698721408844  L:  [0.9899364709854126, 1.0187885761260986]
Epoch :  8  Rel. Train L2 Loss :  0.10086013805866241  Rel. Test L2 Loss :  0.09770799934864044  Test L2 Loss :  0.08079853534698486  Time :  16.387996673583984  L:  [0.9899836182594299, 1.0189886093139648]
Epoch :  9  Rel. Train L2 Loss :  0.10086877131462098  Rel. Test L2 Loss :  0.09814168751239777  Test L2 Loss :  0.0811471849679947  Time :  16.326992988586426  L:  [0.9898121953010559, 1.0192312002182007]
Epoch :  10  Rel. Train L2 Loss :  0.10073030126094819  Rel. Test L2 Loss :  0.09850197434425353  Test L2 Loss :  0.08144622266292573  Time :  16.350029706954956  L:  [0.9895307421684265, 1.0193264484405518]
Epoch :  11  Rel. Train L2 Loss :  0.10077160859107971  Rel. Test L2 Loss :  0.09895384728908539  Test L2 Loss :  0.08180566906929015  Time :  16.41293239593506  L:  [0.9887158274650574, 1.01920747756958]
Epoch :  12  Rel. Train L2 Loss :  0.10059176445007324  Rel. Test L2 Loss :  0.09833530008792878  Test L2 Loss :  0.08131861567497253  Time :  16.526714324951172  L:  [0.9881520867347717, 1.0194079875946045]
Epoch :  13  Rel. Train L2 Loss :  0.10092905020713806  Rel. Test L2 Loss :  0.0976220703125  Test L2 Loss :  0.08074629962444306  Time :  16.657921314239502  L:  [0.9883362054824829, 1.0200036764144897]
Epoch :  14  Rel. Train L2 Loss :  0.10064551448822022  Rel. Test L2 Loss :  0.0979285591840744  Test L2 Loss :  0.08097356975078583  Time :  16.785001516342163  L:  [0.9878135919570923, 1.0199171304702759]
Epoch :  15  Rel. Train L2 Loss :  0.10056339991092682  Rel. Test L2 Loss :  0.09732483565807343  Test L2 Loss :  0.08048994362354278  Time :  16.88372254371643  L:  [0.9881715774536133, 1.0202689170837402]
Epoch :  16  Rel. Train L2 Loss :  0.10068678903579711  Rel. Test L2 Loss :  0.09771829485893249  Test L2 Loss :  0.08081446051597595  Time :  16.7814724445343  L:  [0.9884143471717834, 1.0202380418777466]
Epoch :  17  Rel. Train L2 Loss :  0.10074609422683715  Rel. Test L2 Loss :  0.09741576194763184  Test L2 Loss :  0.08056261241436005  Time :  16.560428857803345  L:  [0.9880600571632385, 1.0203627347946167]
Epoch :  18  Rel. Train L2 Loss :  0.10063352656364441  Rel. Test L2 Loss :  0.09796682178974152  Test L2 Loss :  0.08101550042629242  Time :  16.44815492630005  L:  [0.9880009889602661, 1.0205068588256836]
Epoch :  19  Rel. Train L2 Loss :  0.10046178185939789  Rel. Test L2 Loss :  0.09815499663352967  Test L2 Loss :  0.08115435421466827  Time :  16.431145906448364  L:  [0.9873415231704712, 1.0203089714050293]
Epoch :  20  Rel. Train L2 Loss :  0.1005526580810547  Rel. Test L2 Loss :  0.09760496675968171  Test L2 Loss :  0.08072440326213837  Time :  16.481634378433228  L:  [0.9875298738479614, 1.020536184310913]
Epoch :  21  Rel. Train L2 Loss :  0.1006342145204544  Rel. Test L2 Loss :  0.09740008592605591  Test L2 Loss :  0.08056209981441498  Time :  16.57020401954651  L:  [0.9870204925537109, 1.0203443765640259]
Epoch :  22  Rel. Train L2 Loss :  0.10048269534111023  Rel. Test L2 Loss :  0.09730082035064697  Test L2 Loss :  0.08046843767166138  Time :  16.63995361328125  L:  [0.987407386302948, 1.0207619667053223]
Epoch :  23  Rel. Train L2 Loss :  0.10061583387851715  Rel. Test L2 Loss :  0.09743563711643219  Test L2 Loss :  0.0805903947353363  Time :  16.748819828033447  L:  [0.9869557023048401, 1.020636796951294]
Epoch :  24  Rel. Train L2 Loss :  0.10074310219287873  Rel. Test L2 Loss :  0.09760737419128418  Test L2 Loss :  0.08071955263614655  Time :  16.835057497024536  L:  [0.986702024936676, 1.0206007957458496]
Epoch :  25  Rel. Train L2 Loss :  0.10058788800239563  Rel. Test L2 Loss :  0.09773248910903931  Test L2 Loss :  0.08083094358444214  Time :  16.835789680480957  L:  [0.9853429794311523, 1.0204395055770874]
Epoch :  26  Rel. Train L2 Loss :  0.10043017888069153  Rel. Test L2 Loss :  0.0972470486164093  Test L2 Loss :  0.08043331503868104  Time :  16.7141215801239  L:  [0.9857297539710999, 1.020825743675232]
Epoch :  27  Rel. Train L2 Loss :  0.10060121476650238  Rel. Test L2 Loss :  0.09762022674083709  Test L2 Loss :  0.0807271546125412  Time :  16.571303606033325  L:  [0.985495924949646, 1.0207101106643677]
Epoch :  28  Rel. Train L2 Loss :  0.10065824389457703  Rel. Test L2 Loss :  0.09768408477306366  Test L2 Loss :  0.08080795884132386  Time :  16.53118109703064  L:  [0.9859135746955872, 1.0211178064346313]
Epoch :  29  Rel. Train L2 Loss :  0.10065030193328857  Rel. Test L2 Loss :  0.09752981424331665  Test L2 Loss :  0.08066905975341797  Time :  16.554694414138794  L:  [0.9854882955551147, 1.0209810733795166]
Epoch :  30  Rel. Train L2 Loss :  0.10057829821109772  Rel. Test L2 Loss :  0.09751949727535247  Test L2 Loss :  0.08063504993915557  Time :  16.595500469207764  L:  [0.9857006669044495, 1.021163821220398]
Epoch :  31  Rel. Train L2 Loss :  0.10039651072025299  Rel. Test L2 Loss :  0.09775345802307128  Test L2 Loss :  0.08084295749664307  Time :  16.661769151687622  L:  [0.9854007363319397, 1.0210239887237549]
Epoch :  32  Rel. Train L2 Loss :  0.10047643756866455  Rel. Test L2 Loss :  0.09777161478996277  Test L2 Loss :  0.080844766497612  Time :  16.74565315246582  L:  [0.9848717451095581, 1.0208693742752075]
Epoch :  33  Rel. Train L2 Loss :  0.10056905019283295  Rel. Test L2 Loss :  0.09760734140872955  Test L2 Loss :  0.08071489632129669  Time :  16.835213899612427  L:  [0.9850544333457947, 1.0212091207504272]
Epoch :  34  Rel. Train L2 Loss :  0.1003154376745224  Rel. Test L2 Loss :  0.09739895820617676  Test L2 Loss :  0.08055015623569489  Time :  16.840747356414795  L:  [0.9844565987586975, 1.0207154750823975]
Epoch :  35  Rel. Train L2 Loss :  0.10059763133525848  Rel. Test L2 Loss :  0.09792689561843872  Test L2 Loss :  0.0809721052646637  Time :  16.803122758865356  L:  [0.9845897555351257, 1.0208669900894165]
Epoch :  36  Rel. Train L2 Loss :  0.10044162142276764  Rel. Test L2 Loss :  0.09779159426689148  Test L2 Loss :  0.08087495267391205  Time :  16.74753761291504  L:  [0.9840036630630493, 1.0209347009658813]
Epoch :  37  Rel. Train L2 Loss :  0.1005029809474945  Rel. Test L2 Loss :  0.09735353946685792  Test L2 Loss :  0.0805163848400116  Time :  16.71031403541565  L:  [0.9848961234092712, 1.0211079120635986]
Epoch :  38  Rel. Train L2 Loss :  0.10081255722045898  Rel. Test L2 Loss :  0.09750386953353882  Test L2 Loss :  0.08063179910182953  Time :  16.68281841278076  L:  [0.9851499795913696, 1.0215591192245483]
Epoch :  39  Rel. Train L2 Loss :  0.10048229801654816  Rel. Test L2 Loss :  0.09825507581233978  Test L2 Loss :  0.08125034987926483  Time :  16.62665843963623  L:  [0.9843961000442505, 1.0210375785827637]
Epoch :  40  Rel. Train L2 Loss :  0.10075823152065277  Rel. Test L2 Loss :  0.09832877039909363  Test L2 Loss :  0.0812934708595276  Time :  16.649921655654907  L:  [0.9844675064086914, 1.0211273431777954]
Epoch :  41  Rel. Train L2 Loss :  0.10063204908370972  Rel. Test L2 Loss :  0.09749476969242096  Test L2 Loss :  0.08062263786792755  Time :  16.702277660369873  L:  [0.9843020439147949, 1.021476149559021]
Epoch :  42  Rel. Train L2 Loss :  0.10064144790172577  Rel. Test L2 Loss :  0.0974701327085495  Test L2 Loss :  0.08061255276203155  Time :  16.742414951324463  L:  [0.9841273427009583, 1.0214241743087769]
Epoch :  43  Rel. Train L2 Loss :  0.10060899341106415  Rel. Test L2 Loss :  0.09914702475070954  Test L2 Loss :  0.08195316076278686  Time :  16.797870635986328  L:  [0.9842445254325867, 1.0217686891555786]
Epoch :  44  Rel. Train L2 Loss :  0.10067687535285949  Rel. Test L2 Loss :  0.09801384031772614  Test L2 Loss :  0.08105025768280029  Time :  16.806835174560547  L:  [0.9841433167457581, 1.0214858055114746]
Epoch :  45  Rel. Train L2 Loss :  0.10042422008514404  Rel. Test L2 Loss :  0.09773595213890075  Test L2 Loss :  0.080827357172966  Time :  16.784271240234375  L:  [0.9838026165962219, 1.021180272102356]
Epoch :  46  Rel. Train L2 Loss :  0.100639603972435  Rel. Test L2 Loss :  0.09796943962574005  Test L2 Loss :  0.08100748419761658  Time :  16.76488423347473  L:  [0.9845137000083923, 1.0217307806015015]
Epoch :  47  Rel. Train L2 Loss :  0.10040621745586395  Rel. Test L2 Loss :  0.09758285701274871  Test L2 Loss :  0.08068866610527038  Time :  16.736104488372803  L:  [0.984696626663208, 1.0218998193740845]
Epoch :  48  Rel. Train L2 Loss :  0.10036522233486175  Rel. Test L2 Loss :  0.09804334342479706  Test L2 Loss :  0.08106499195098876  Time :  16.722612380981445  L:  [0.9838864207267761, 1.021623134613037]
Epoch :  49  Rel. Train L2 Loss :  0.1004806250333786  Rel. Test L2 Loss :  0.09782419741153717  Test L2 Loss :  0.0808998829126358  Time :  16.714595794677734  L:  [0.9836517572402954, 1.0216902494430542]
Epoch :  50  Rel. Train L2 Loss :  0.10055141603946685  Rel. Test L2 Loss :  0.09749433755874634  Test L2 Loss :  0.08064510703086852  Time :  16.70978832244873  L:  [0.9839593768119812, 1.022047519683838]
Epoch :  51  Rel. Train L2 Loss :  0.1005302517414093  Rel. Test L2 Loss :  0.09741216719150543  Test L2 Loss :  0.0805540668964386  Time :  16.702033281326294  L:  [0.9845196008682251, 1.0223726034164429]
Epoch :  52  Rel. Train L2 Loss :  0.10040713381767273  Rel. Test L2 Loss :  0.09810098588466644  Test L2 Loss :  0.08111167669296265  Time :  16.726686477661133  L:  [0.9833496809005737, 1.0216020345687866]
Epoch :  53  Rel. Train L2 Loss :  0.10080532658100128  Rel. Test L2 Loss :  0.09873959124088287  Test L2 Loss :  0.08164511322975158  Time :  16.762680530548096  L:  [0.9823538064956665, 1.0213502645492554]
Epoch :  54  Rel. Train L2 Loss :  0.10048786318302154  Rel. Test L2 Loss :  0.09748006641864776  Test L2 Loss :  0.08063017725944518  Time :  16.787221670150757  L:  [0.9827990531921387, 1.0220190286636353]
Epoch :  55  Rel. Train L2 Loss :  0.10047648453712463  Rel. Test L2 Loss :  0.09728100001811982  Test L2 Loss :  0.08045336902141571  Time :  16.785048723220825  L:  [0.9828571677207947, 1.0219712257385254]
Epoch :  56  Rel. Train L2 Loss :  0.10060299456119537  Rel. Test L2 Loss :  0.09722669541835785  Test L2 Loss :  0.08041100382804871  Time :  16.775715351104736  L:  [0.9841250777244568, 1.0222489833831787]
Epoch :  57  Rel. Train L2 Loss :  0.10038349831104279  Rel. Test L2 Loss :  0.09749090969562531  Test L2 Loss :  0.08062710523605347  Time :  16.74676012992859  L:  [0.9835131168365479, 1.0220255851745605]
Epoch :  58  Rel. Train L2 Loss :  0.10036129534244537  Rel. Test L2 Loss :  0.09760456204414368  Test L2 Loss :  0.08073500454425812  Time :  16.726186990737915  L:  [0.9836068153381348, 1.0220495462417603]
Epoch :  59  Rel. Train L2 Loss :  0.10050563132762909  Rel. Test L2 Loss :  0.09786927878856659  Test L2 Loss :  0.08092415392398834  Time :  16.713401794433594  L:  [0.9838442802429199, 1.0219937562942505]
