data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape:  (1000, 11271, 6)
y_train.shape:  (1000, 11271, 1)
initial L=[4.0, 4.0],should_learn_L=False,rank=16
In GeoFNO_train, ndim =  2
Epoch :  0  Rel. Train L2 Loss :  0.12304806470870971  Rel. Test L2 Loss :  0.09688676178455352  Test L2 Loss :  0.08012940227985382  Time :  17.052138805389404  L:  [4.0, 4.0]
Epoch :  1  Rel. Train L2 Loss :  0.09161680829524994  Rel. Test L2 Loss :  0.08136358857154846  Test L2 Loss :  0.06728162169456482  Time :  9.610917091369629  L:  [4.0, 4.0]
Epoch :  2  Rel. Train L2 Loss :  0.07747902703285217  Rel. Test L2 Loss :  0.07292363286018372  Test L2 Loss :  0.06030679702758789  Time :  9.640018701553345  L:  [4.0, 4.0]
Epoch :  3  Rel. Train L2 Loss :  0.06723157835006714  Rel. Test L2 Loss :  0.05953268826007843  Test L2 Loss :  0.049228076636791226  Time :  9.668660640716553  L:  [4.0, 4.0]
Epoch :  4  Rel. Train L2 Loss :  0.05805771064758301  Rel. Test L2 Loss :  0.05209614038467407  Test L2 Loss :  0.04307106375694275  Time :  9.73515009880066  L:  [4.0, 4.0]
Epoch :  5  Rel. Train L2 Loss :  0.050209423661231996  Rel. Test L2 Loss :  0.04391466170549393  Test L2 Loss :  0.036318909227848056  Time :  9.788917064666748  L:  [4.0, 4.0]
Epoch :  6  Rel. Train L2 Loss :  0.04345559704303741  Rel. Test L2 Loss :  0.040800531208515164  Test L2 Loss :  0.03373569816350937  Time :  9.860443592071533  L:  [4.0, 4.0]
Epoch :  7  Rel. Train L2 Loss :  0.041840512752532956  Rel. Test L2 Loss :  0.03879833787679672  Test L2 Loss :  0.032079509794712066  Time :  9.905995607376099  L:  [4.0, 4.0]
Epoch :  8  Rel. Train L2 Loss :  0.036711209058761594  Rel. Test L2 Loss :  0.03407289266586304  Test L2 Loss :  0.028163036704063414  Time :  9.984195232391357  L:  [4.0, 4.0]
Epoch :  9  Rel. Train L2 Loss :  0.0336034015417099  Rel. Test L2 Loss :  0.030650737583637237  Test L2 Loss :  0.02533672735095024  Time :  9.98447299003601  L:  [4.0, 4.0]
Epoch :  10  Rel. Train L2 Loss :  0.030580736696720123  Rel. Test L2 Loss :  0.028505484163761138  Test L2 Loss :  0.02356745719909668  Time :  10.015527248382568  L:  [4.0, 4.0]
Epoch :  11  Rel. Train L2 Loss :  0.028781992733478545  Rel. Test L2 Loss :  0.030971197187900545  Test L2 Loss :  0.025612008422613144  Time :  10.09972357749939  L:  [4.0, 4.0]
Epoch :  12  Rel. Train L2 Loss :  0.030823091238737107  Rel. Test L2 Loss :  0.028488798439502715  Test L2 Loss :  0.02353687062859535  Time :  10.093979597091675  L:  [4.0, 4.0]
Epoch :  13  Rel. Train L2 Loss :  0.02761175686120987  Rel. Test L2 Loss :  0.025161293894052507  Test L2 Loss :  0.02079865723848343  Time :  9.984670877456665  L:  [4.0, 4.0]
Epoch :  14  Rel. Train L2 Loss :  0.024924976259469985  Rel. Test L2 Loss :  0.024896984398365022  Test L2 Loss :  0.020584038496017455  Time :  9.923654794692993  L:  [4.0, 4.0]
Epoch :  15  Rel. Train L2 Loss :  0.023973616480827332  Rel. Test L2 Loss :  0.02293535977602005  Test L2 Loss :  0.018957003951072693  Time :  9.870722532272339  L:  [4.0, 4.0]
Epoch :  16  Rel. Train L2 Loss :  0.0236978263258934  Rel. Test L2 Loss :  0.02178169250488281  Test L2 Loss :  0.01799459382891655  Time :  9.843180656433105  L:  [4.0, 4.0]
Epoch :  17  Rel. Train L2 Loss :  0.022386008471250534  Rel. Test L2 Loss :  0.023361644893884658  Test L2 Loss :  0.01930401161313057  Time :  9.838584423065186  L:  [4.0, 4.0]
Epoch :  18  Rel. Train L2 Loss :  0.02325712087750435  Rel. Test L2 Loss :  0.021763534992933275  Test L2 Loss :  0.017984080463647842  Time :  9.844470977783203  L:  [4.0, 4.0]
Epoch :  19  Rel. Train L2 Loss :  0.021533725410699846  Rel. Test L2 Loss :  0.021171092689037323  Test L2 Loss :  0.017504901736974717  Time :  9.86352801322937  L:  [4.0, 4.0]
Epoch :  20  Rel. Train L2 Loss :  0.022002921909093857  Rel. Test L2 Loss :  0.02033237174153328  Test L2 Loss :  0.01680480882525444  Time :  9.906188011169434  L:  [4.0, 4.0]
Epoch :  21  Rel. Train L2 Loss :  0.02043575683236122  Rel. Test L2 Loss :  0.018658914417028428  Test L2 Loss :  0.01541643425822258  Time :  9.955620765686035  L:  [4.0, 4.0]
Epoch :  22  Rel. Train L2 Loss :  0.021078920900821686  Rel. Test L2 Loss :  0.027548903077840806  Test L2 Loss :  0.022783314883708952  Time :  9.99829649925232  L:  [4.0, 4.0]
Epoch :  23  Rel. Train L2 Loss :  0.02067013078927994  Rel. Test L2 Loss :  0.019987118989229204  Test L2 Loss :  0.01651677131652832  Time :  9.994780540466309  L:  [4.0, 4.0]
Epoch :  24  Rel. Train L2 Loss :  0.018249338656663894  Rel. Test L2 Loss :  0.017139815241098404  Test L2 Loss :  0.014158009439706803  Time :  9.98035216331482  L:  [4.0, 4.0]
Epoch :  25  Rel. Train L2 Loss :  0.017424270927906035  Rel. Test L2 Loss :  0.01748109668493271  Test L2 Loss :  0.014446470588445663  Time :  10.067048072814941  L:  [4.0, 4.0]
Epoch :  26  Rel. Train L2 Loss :  0.017768148958683012  Rel. Test L2 Loss :  0.016340302228927614  Test L2 Loss :  0.013502678498625756  Time :  10.050628662109375  L:  [4.0, 4.0]
Epoch :  27  Rel. Train L2 Loss :  0.01763137525320053  Rel. Test L2 Loss :  0.020170871317386627  Test L2 Loss :  0.01667433962225914  Time :  10.041199684143066  L:  [4.0, 4.0]
Epoch :  28  Rel. Train L2 Loss :  0.01837579506635666  Rel. Test L2 Loss :  0.018705876469612123  Test L2 Loss :  0.015470053404569625  Time :  9.985655069351196  L:  [4.0, 4.0]
Epoch :  29  Rel. Train L2 Loss :  0.01727954226732254  Rel. Test L2 Loss :  0.019350065290927886  Test L2 Loss :  0.015996253341436385  Time :  9.950397491455078  L:  [4.0, 4.0]
Epoch :  30  Rel. Train L2 Loss :  0.01799753698706627  Rel. Test L2 Loss :  0.016591839045286178  Test L2 Loss :  0.013710515797138214  Time :  9.904089212417603  L:  [4.0, 4.0]
Epoch :  31  Rel. Train L2 Loss :  0.016737023085355757  Rel. Test L2 Loss :  0.016834222227334977  Test L2 Loss :  0.013911089301109314  Time :  9.862283945083618  L:  [4.0, 4.0]
Epoch :  32  Rel. Train L2 Loss :  0.01794549638032913  Rel. Test L2 Loss :  0.015424841791391372  Test L2 Loss :  0.012746705189347268  Time :  9.854767084121704  L:  [4.0, 4.0]
Epoch :  33  Rel. Train L2 Loss :  0.01693945699930191  Rel. Test L2 Loss :  0.018032574355602266  Test L2 Loss :  0.014907649755477904  Time :  9.858879566192627  L:  [4.0, 4.0]
Epoch :  34  Rel. Train L2 Loss :  0.016842159271240234  Rel. Test L2 Loss :  0.01603728026151657  Test L2 Loss :  0.013256636112928391  Time :  9.871398210525513  L:  [4.0, 4.0]
