data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape:  (1000, 11271, 6)
y_train.shape:  (1000, 11271, 1)
initial L=[4.0, 4.0],should_learn_L=True,rank=16
In GeoFNO_train, ndim =  2
Epoch :  0  Rel. Train L2 Loss :  0.12297493517398835  Rel. Test L2 Loss :  0.09670201539993287  Test L2 Loss :  0.07997715055942535  Time :  22.266106367111206  L:  [3.997466564178467, 3.9990394115448]
Epoch :  1  Rel. Train L2 Loss :  0.09122416388988495  Rel. Test L2 Loss :  0.08113955020904541  Test L2 Loss :  0.06710125029087066  Time :  15.079548835754395  L:  [3.997528553009033, 3.9967010021209717]
Epoch :  2  Rel. Train L2 Loss :  0.07685563719272613  Rel. Test L2 Loss :  0.07320917665958404  Test L2 Loss :  0.06053785562515259  Time :  15.156112670898438  L:  [3.997851848602295, 3.996354579925537]
Epoch :  3  Rel. Train L2 Loss :  0.0672439547777176  Rel. Test L2 Loss :  0.059067235589027406  Test L2 Loss :  0.04884114235639572  Time :  15.248647212982178  L:  [3.9973180294036865, 3.9953184127807617]
Epoch :  4  Rel. Train L2 Loss :  0.058087406992912295  Rel. Test L2 Loss :  0.051992677450180054  Test L2 Loss :  0.04298979729413986  Time :  15.343875169754028  L:  [3.99661922454834, 3.995603084564209]
Epoch :  5  Rel. Train L2 Loss :  0.05005031287670136  Rel. Test L2 Loss :  0.0450348636507988  Test L2 Loss :  0.037240076363086703  Time :  15.426481008529663  L:  [3.9965946674346924, 3.9952499866485596]
Epoch :  6  Rel. Train L2 Loss :  0.044150137364864346  Rel. Test L2 Loss :  0.03913930684328079  Test L2 Loss :  0.032363492846488956  Time :  15.511384010314941  L:  [3.9962100982666016, 3.9954311847686768]
Epoch :  7  Rel. Train L2 Loss :  0.04144575035572052  Rel. Test L2 Loss :  0.03846819937229157  Test L2 Loss :  0.03181373804807663  Time :  15.55969524383545  L:  [3.9962220191955566, 3.9953105449676514]
Epoch :  8  Rel. Train L2 Loss :  0.03788452512025833  Rel. Test L2 Loss :  0.035059928596019745  Test L2 Loss :  0.02897623270750046  Time :  15.584989786148071  L:  [3.9967010021209717, 3.9950051307678223]
Epoch :  9  Rel. Train L2 Loss :  0.034293030977249145  Rel. Test L2 Loss :  0.03188312411308289  Test L2 Loss :  0.026355815380811692  Time :  15.576646089553833  L:  [3.996896266937256, 3.9945504665374756]
Epoch :  10  Rel. Train L2 Loss :  0.03186871576309204  Rel. Test L2 Loss :  0.029773361682891845  Test L2 Loss :  0.024610646665096284  Time :  15.558348178863525  L:  [3.9968321323394775, 3.995347023010254]
Epoch :  11  Rel. Train L2 Loss :  0.029791325211524965  Rel. Test L2 Loss :  0.02979257881641388  Test L2 Loss :  0.024640351682901383  Time :  15.573904514312744  L:  [3.9968678951263428, 3.9948348999023438]
Epoch :  12  Rel. Train L2 Loss :  0.03102493441104889  Rel. Test L2 Loss :  0.029251737892627715  Test L2 Loss :  0.024172612130641938  Time :  15.609832763671875  L:  [3.9968831539154053, 3.9946064949035645]
Epoch :  13  Rel. Train L2 Loss :  0.028237900733947753  Rel. Test L2 Loss :  0.027868699431419373  Test L2 Loss :  0.023033980280160904  Time :  15.656786918640137  L:  [3.9967005252838135, 3.994980812072754]
Epoch :  14  Rel. Train L2 Loss :  0.027323786705732347  Rel. Test L2 Loss :  0.025523038357496263  Test L2 Loss :  0.021102145612239838  Time :  15.597352981567383  L:  [3.996554136276245, 3.9942710399627686]
Epoch :  15  Rel. Train L2 Loss :  0.024831382900476456  Rel. Test L2 Loss :  0.02472726449370384  Test L2 Loss :  0.020442224591970443  Time :  15.508073329925537  L:  [3.9964985847473145, 3.9950621128082275]
Epoch :  16  Rel. Train L2 Loss :  0.02364197325706482  Rel. Test L2 Loss :  0.021771913915872573  Test L2 Loss :  0.01799591302871704  Time :  15.443393230438232  L:  [3.9964475631713867, 3.994725465774536]
Epoch :  17  Rel. Train L2 Loss :  0.02375695651769638  Rel. Test L2 Loss :  0.026236279755830764  Test L2 Loss :  0.021675725728273393  Time :  15.422093152999878  L:  [3.9969046115875244, 3.9951767921447754]
Epoch :  18  Rel. Train L2 Loss :  0.02555964782834053  Rel. Test L2 Loss :  0.023882538676261902  Test L2 Loss :  0.019747599363327026  Time :  15.435160398483276  L:  [3.9959566593170166, 3.9944515228271484]
Epoch :  19  Rel. Train L2 Loss :  0.02157684272527695  Rel. Test L2 Loss :  0.02001735433936119  Test L2 Loss :  0.016546923369169235  Time :  15.461926937103271  L:  [3.996697425842285, 3.994938611984253]
Epoch :  20  Rel. Train L2 Loss :  0.02104996246099472  Rel. Test L2 Loss :  0.02144397497177124  Test L2 Loss :  0.01772009015083313  Time :  15.498530387878418  L:  [3.996767520904541, 3.994905948638916]
