data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (221, 51) (221, 51)
x_train.shape:  (1000, 11271, 6)
y_train.shape:  (1000, 11271, 1)
In GeoFNO_train, ndim =  2
Epoch :  0  Rel. Train L2 Loss :  0.14944818544387817  Rel. Test L2 Loss :  0.11411841988563537  Test L2 Loss :  0.09435912668704986  Time :  18.699395418167114  L:  [0.9771270751953125, 0.996641993522644]
Epoch :  1  Rel. Train L2 Loss :  0.10835110294818878  Rel. Test L2 Loss :  0.09957701921463012  Test L2 Loss :  0.08237020373344421  Time :  15.109554290771484  L:  [0.9677857756614685, 0.9915136098861694]
Epoch :  2  Rel. Train L2 Loss :  0.10185809457302093  Rel. Test L2 Loss :  0.09769084513187408  Test L2 Loss :  0.08082014441490173  Time :  15.197823524475098  L:  [0.9690073728561401, 0.9968979954719543]
Epoch :  3  Rel. Train L2 Loss :  0.10093415713310241  Rel. Test L2 Loss :  0.09765214622020721  Test L2 Loss :  0.08076856434345245  Time :  15.293620824813843  L:  [0.9680284857749939, 0.997023344039917]
Epoch :  4  Rel. Train L2 Loss :  0.10072291839122773  Rel. Test L2 Loss :  0.09867040872573853  Test L2 Loss :  0.08156535983085632  Time :  15.365753889083862  L:  [0.9684880971908569, 0.9968671202659607]
Epoch :  5  Rel. Train L2 Loss :  0.10062393140792847  Rel. Test L2 Loss :  0.0978810453414917  Test L2 Loss :  0.08093662202358246  Time :  15.412034511566162  L:  [0.96808260679245, 0.9962565302848816]
Epoch :  6  Rel. Train L2 Loss :  0.10083690881729127  Rel. Test L2 Loss :  0.0982826566696167  Test L2 Loss :  0.08126119136810303  Time :  15.3573637008667  L:  [0.9683538675308228, 0.9958315491676331]
Epoch :  7  Rel. Train L2 Loss :  0.10047306394577027  Rel. Test L2 Loss :  0.09731791496276855  Test L2 Loss :  0.08049642980098724  Time :  15.314961194992065  L:  [0.9686794877052307, 0.9956158399581909]
Epoch :  8  Rel. Train L2 Loss :  0.10076713418960571  Rel. Test L2 Loss :  0.09800130903720855  Test L2 Loss :  0.08103294551372528  Time :  15.319663524627686  L:  [0.9684462547302246, 0.99542236328125]
Epoch :  9  Rel. Train L2 Loss :  0.1004433536529541  Rel. Test L2 Loss :  0.09762767493724823  Test L2 Loss :  0.08073151707649232  Time :  15.320791959762573  L:  [0.9680379629135132, 0.9949598908424377]
Epoch :  10  Rel. Train L2 Loss :  0.10039242231845856  Rel. Test L2 Loss :  0.09727218627929687  Test L2 Loss :  0.08044819474220276  Time :  15.361311435699463  L:  [0.968080997467041, 0.9950428605079651]
Epoch :  11  Rel. Train L2 Loss :  0.10054211175441742  Rel. Test L2 Loss :  0.09746319234371185  Test L2 Loss :  0.08060514569282531  Time :  15.412862300872803  L:  [0.9683032035827637, 0.9947593808174133]
