data_in.shape: (1324, 421, 421)
data_out.shape (1324, 421, 421)
x_train.shape:  (1000, 44521, 5)
y_train.shape:  (1000, 44521, 1)
In GeoFNO_train, ndim =  2
Epoch :  0  Rel. Train L2 Loss :  0.2789474199414253  Rel. Test L2 Loss :  0.12905305922031401  Test L2 Loss :  0.0008528872253373266  Time :  46.252501487731934  L:  [0.9857142567634583, 0.9881348609924316]
Epoch :  1  Rel. Train L2 Loss :  0.09037893956899642  Rel. Test L2 Loss :  0.07578625470399857  Test L2 Loss :  0.0005207464343402534  Time :  43.75166082382202  L:  [0.9965978264808655, 1.0002816915512085]
Epoch :  2  Rel. Train L2 Loss :  0.07131491175293922  Rel. Test L2 Loss :  0.05498969972133636  Test L2 Loss :  0.00037222562124952677  Time :  43.62104511260986  L:  [0.9993954300880432, 1.0032172203063965]
Epoch :  3  Rel. Train L2 Loss :  0.05557220679521561  Rel. Test L2 Loss :  0.0470835842192173  Test L2 Loss :  0.00032056938391178847  Time :  43.69957900047302  L:  [1.0019614696502686, 1.0080896615982056]
Epoch :  4  Rel. Train L2 Loss :  0.051413922905921935  Rel. Test L2 Loss :  0.05531271994113922  Test L2 Loss :  0.00037918819929473103  Time :  43.9655556678772  L:  [1.00436532497406, 1.0110212564468384]
Epoch :  5  Rel. Train L2 Loss :  0.04536458882689476  Rel. Test L2 Loss :  0.037419862151145934  Test L2 Loss :  0.0002520739909959957  Time :  43.94075083732605  L:  [1.0059607028961182, 1.014510154724121]
Epoch :  6  Rel. Train L2 Loss :  0.038466815665364265  Rel. Test L2 Loss :  0.033754023537039754  Test L2 Loss :  0.0002274611184839159  Time :  43.82046914100647  L:  [1.0077780485153198, 1.0169461965560913]
Epoch :  7  Rel. Train L2 Loss :  0.03718701528012752  Rel. Test L2 Loss :  0.037965819388628  Test L2 Loss :  0.00025532471132464705  Time :  43.94434976577759  L:  [1.0099291801452637, 1.0190587043762207]
Epoch :  8  Rel. Train L2 Loss :  0.031628488689661026  Rel. Test L2 Loss :  0.03052298665046692  Test L2 Loss :  0.00020656654436606914  Time :  44.069695234298706  L:  [1.0121492147445679, 1.020534873008728]
Epoch :  9  Rel. Train L2 Loss :  0.02961084309220314  Rel. Test L2 Loss :  0.028028767108917236  Test L2 Loss :  0.00018856851442251355  Time :  43.93680453300476  L:  [1.0141841173171997, 1.0230084657669067]
Epoch :  10  Rel. Train L2 Loss :  0.026050002485513687  Rel. Test L2 Loss :  0.0257732754945755  Test L2 Loss :  0.0001751287980005145  Time :  43.85054659843445  L:  [1.0162889957427979, 1.0244096517562866]
Epoch :  11  Rel. Train L2 Loss :  0.02623894089460373  Rel. Test L2 Loss :  0.03246870681643486  Test L2 Loss :  0.0002180254366248846  Time :  43.82673215866089  L:  [1.0185465812683105, 1.026273250579834]
Epoch :  12  Rel. Train L2 Loss :  0.024245000943541525  Rel. Test L2 Loss :  0.02361452430486679  Test L2 Loss :  0.00015880941762588918  Time :  43.85730504989624  L:  [1.0200750827789307, 1.0274460315704346]
Epoch :  13  Rel. Train L2 Loss :  0.023773375317454336  Rel. Test L2 Loss :  0.021239352002739905  Test L2 Loss :  0.00014406290487386285  Time :  43.78872489929199  L:  [1.0214060544967651, 1.028384804725647]
Epoch :  14  Rel. Train L2 Loss :  0.02504691432416439  Rel. Test L2 Loss :  0.021304121762514113  Test L2 Loss :  0.0001438437431352213  Time :  43.74277377128601  L:  [1.02238929271698, 1.0294543504714966]
Epoch :  15  Rel. Train L2 Loss :  0.02154063393175602  Rel. Test L2 Loss :  0.02116721272468567  Test L2 Loss :  0.0001430927639012225  Time :  43.81603479385376  L:  [1.0234346389770508, 1.0302467346191406]
Epoch :  16  Rel. Train L2 Loss :  0.020991843931376934  Rel. Test L2 Loss :  0.02312550336122513  Test L2 Loss :  0.00015816279978025704  Time :  43.82526612281799  L:  [1.024397611618042, 1.0309423208236694]
Epoch :  17  Rel. Train L2 Loss :  0.02167843295633793  Rel. Test L2 Loss :  0.02176022991538048  Test L2 Loss :  0.00014727891597431152  Time :  43.74767780303955  L:  [1.0250957012176514, 1.0318831205368042]
Epoch :  18  Rel. Train L2 Loss :  0.019882786490023136  Rel. Test L2 Loss :  0.018167041391134262  Test L2 Loss :  0.00012324409559369087  Time :  43.79134702682495  L:  [1.0263749361038208, 1.0324349403381348]
Epoch :  19  Rel. Train L2 Loss :  0.01950975178927183  Rel. Test L2 Loss :  0.02008569151163101  Test L2 Loss :  0.00013636918913107366  Time :  43.820478200912476  L:  [1.0272388458251953, 1.0333192348480225]
Epoch :  20  Rel. Train L2 Loss :  0.019248685643076895  Rel. Test L2 Loss :  0.018515275344252586  Test L2 Loss :  0.00012516233400674536  Time :  43.76768612861633  L:  [1.0278043746948242, 1.0340850353240967]
Epoch :  21  Rel. Train L2 Loss :  0.018173147305846214  Rel. Test L2 Loss :  0.018838195875287057  Test L2 Loss :  0.00012714490527287125  Time :  43.750959396362305  L:  [1.0287790298461914, 1.0349479913711548]
Epoch :  22  Rel. Train L2 Loss :  0.017970651842653753  Rel. Test L2 Loss :  0.017113157249987125  Test L2 Loss :  0.00011567241279408335  Time :  43.760579109191895  L:  [1.0299233198165894, 1.0353507995605469]
