data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape:  (1000, 11271, 6)
y_train.shape:  (1000, 11271, 1)
initial L=[4.0, 4.0],should_learn_L=False,rank=16
In GeoFNO_train, ndim =  2
Epoch :  0  Rel. Train L2 Loss :  0.13106827282905578  Rel. Test L2 Loss :  0.09899108827114106  Test L2 Loss :  0.081882244348526  Time :  11.230709791183472  L:  [4.0, 4.0]
Epoch :  1  Rel. Train L2 Loss :  0.09479728055000305  Rel. Test L2 Loss :  0.08613658547401429  Test L2 Loss :  0.07117254614830017  Time :  9.338656425476074  L:  [4.0, 4.0]
Epoch :  2  Rel. Train L2 Loss :  0.07987569999694824  Rel. Test L2 Loss :  0.07431169450283051  Test L2 Loss :  0.061408509016036984  Time :  9.372326135635376  L:  [4.0, 4.0]
Epoch :  3  Rel. Train L2 Loss :  0.07099849045276642  Rel. Test L2 Loss :  0.06846161365509033  Test L2 Loss :  0.056612547934055325  Time :  9.420376539230347  L:  [4.0, 4.0]
Epoch :  4  Rel. Train L2 Loss :  0.06638791382312775  Rel. Test L2 Loss :  0.06164600312709809  Test L2 Loss :  0.05096104770898819  Time :  9.412608861923218  L:  [4.0, 4.0]
Epoch :  5  Rel. Train L2 Loss :  0.061029690861701964  Rel. Test L2 Loss :  0.05633372753858566  Test L2 Loss :  0.046592145562171935  Time :  9.48006796836853  L:  [4.0, 4.0]
Epoch :  6  Rel. Train L2 Loss :  0.056813732981681825  Rel. Test L2 Loss :  0.053721165657043456  Test L2 Loss :  0.044436880946159364  Time :  9.485710859298706  L:  [4.0, 4.0]
Epoch :  7  Rel. Train L2 Loss :  0.05321898877620697  Rel. Test L2 Loss :  0.0501247376203537  Test L2 Loss :  0.04145077347755432  Time :  9.597907543182373  L:  [4.0, 4.0]
Epoch :  8  Rel. Train L2 Loss :  0.048612179040908816  Rel. Test L2 Loss :  0.04582241892814636  Test L2 Loss :  0.03788899838924408  Time :  9.659658432006836  L:  [4.0, 4.0]
Epoch :  9  Rel. Train L2 Loss :  0.04662179535627365  Rel. Test L2 Loss :  0.04682277023792267  Test L2 Loss :  0.038700553178787234  Time :  9.640192031860352  L:  [4.0, 4.0]
Epoch :  10  Rel. Train L2 Loss :  0.04399015897512436  Rel. Test L2 Loss :  0.04083358258008957  Test L2 Loss :  0.03376357287168503  Time :  9.709597110748291  L:  [4.0, 4.0]
Epoch :  11  Rel. Train L2 Loss :  0.04112265682220459  Rel. Test L2 Loss :  0.039376249015331266  Test L2 Loss :  0.032560862600803375  Time :  9.745262622833252  L:  [4.0, 4.0]
Epoch :  12  Rel. Train L2 Loss :  0.038954330146312714  Rel. Test L2 Loss :  0.03627144396305084  Test L2 Loss :  0.029989947378635407  Time :  9.756019830703735  L:  [4.0, 4.0]
