data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (221, 51) (221, 51)
x_train.shape:  (1000, 11271, 6)
y_train.shape:  (1000, 11271, 1)
initial L=[1.0, 1.0],should_learn_L=False,rank=16
In GeoFNO_train, ndim =  2
Epoch :  0  Rel. Train L2 Loss :  0.1496094365119934  Rel. Test L2 Loss :  0.115295912027359  Test L2 Loss :  0.0953572791814804  Time :  13.58595609664917  L:  [1.0, 1.0]
Epoch :  1  Rel. Train L2 Loss :  0.10863086330890656  Rel. Test L2 Loss :  0.09985505998134613  Test L2 Loss :  0.08256612181663513  Time :  9.209409475326538  L:  [1.0, 1.0]
Epoch :  2  Rel. Train L2 Loss :  0.10176108253002167  Rel. Test L2 Loss :  0.09851953327655792  Test L2 Loss :  0.08146828949451447  Time :  9.291279792785645  L:  [1.0, 1.0]
Epoch :  3  Rel. Train L2 Loss :  0.10114960944652557  Rel. Test L2 Loss :  0.0979272609949112  Test L2 Loss :  0.08101395666599273  Time :  9.367360353469849  L:  [1.0, 1.0]
Epoch :  4  Rel. Train L2 Loss :  0.10098241066932678  Rel. Test L2 Loss :  0.09761222541332244  Test L2 Loss :  0.08072826623916626  Time :  9.398969650268555  L:  [1.0, 1.0]
Epoch :  5  Rel. Train L2 Loss :  0.10090107178688049  Rel. Test L2 Loss :  0.09836831629276276  Test L2 Loss :  0.08132733762264252  Time :  9.478225469589233  L:  [1.0, 1.0]
Epoch :  6  Rel. Train L2 Loss :  0.1006681603193283  Rel. Test L2 Loss :  0.09825811564922332  Test L2 Loss :  0.08124022841453553  Time :  9.522928714752197  L:  [1.0, 1.0]
Epoch :  7  Rel. Train L2 Loss :  0.10089654862880706  Rel. Test L2 Loss :  0.097760728597641  Test L2 Loss :  0.08086556494235993  Time :  9.592127084732056  L:  [1.0, 1.0]
Epoch :  8  Rel. Train L2 Loss :  0.10100062155723571  Rel. Test L2 Loss :  0.09776686191558838  Test L2 Loss :  0.08085174858570099  Time :  9.628077745437622  L:  [1.0, 1.0]
Epoch :  9  Rel. Train L2 Loss :  0.10054017114639283  Rel. Test L2 Loss :  0.09779398143291473  Test L2 Loss :  0.08087368547916413  Time :  9.6689772605896  L:  [1.0, 1.0]
Epoch :  10  Rel. Train L2 Loss :  0.10078310418128968  Rel. Test L2 Loss :  0.09732276856899262  Test L2 Loss :  0.08050650119781494  Time :  9.668388366699219  L:  [1.0, 1.0]
Epoch :  11  Rel. Train L2 Loss :  0.10059604728221894  Rel. Test L2 Loss :  0.09743236243724823  Test L2 Loss :  0.08057727754116058  Time :  9.693686962127686  L:  [1.0, 1.0]
Epoch :  12  Rel. Train L2 Loss :  0.10037572836875916  Rel. Test L2 Loss :  0.09762578010559082  Test L2 Loss :  0.08072974979877472  Time :  9.621166706085205  L:  [1.0, 1.0]
Epoch :  13  Rel. Train L2 Loss :  0.10055901849269867  Rel. Test L2 Loss :  0.09747461259365081  Test L2 Loss :  0.08061605393886566  Time :  9.573287725448608  L:  [1.0, 1.0]
Epoch :  14  Rel. Train L2 Loss :  0.1003305801153183  Rel. Test L2 Loss :  0.09726401567459106  Test L2 Loss :  0.08045283257961273  Time :  9.508442878723145  L:  [1.0, 1.0]
Epoch :  15  Rel. Train L2 Loss :  0.1007999267578125  Rel. Test L2 Loss :  0.09789621055126191  Test L2 Loss :  0.08098739981651307  Time :  9.507622003555298  L:  [1.0, 1.0]
Epoch :  16  Rel. Train L2 Loss :  0.1008049201965332  Rel. Test L2 Loss :  0.09743705451488495  Test L2 Loss :  0.08057758748531342  Time :  9.491656303405762  L:  [1.0, 1.0]
Epoch :  17  Rel. Train L2 Loss :  0.10045521104335785  Rel. Test L2 Loss :  0.09740957975387574  Test L2 Loss :  0.08056063592433929  Time :  9.504011392593384  L:  [1.0, 1.0]
Epoch :  18  Rel. Train L2 Loss :  0.10034971392154693  Rel. Test L2 Loss :  0.09790068864822388  Test L2 Loss :  0.08094356954097748  Time :  9.505154609680176  L:  [1.0, 1.0]
Epoch :  19  Rel. Train L2 Loss :  0.10029690337181091  Rel. Test L2 Loss :  0.09751009047031403  Test L2 Loss :  0.08063518047332764  Time :  9.590160608291626  L:  [1.0, 1.0]
Epoch :  20  Rel. Train L2 Loss :  0.1003529200553894  Rel. Test L2 Loss :  0.09735162794589997  Test L2 Loss :  0.0805211317539215  Time :  9.543344497680664  L:  [1.0, 1.0]
Epoch :  21  Rel. Train L2 Loss :  0.10043508231639862  Rel. Test L2 Loss :  0.09793218016624451  Test L2 Loss :  0.08097463548183441  Time :  9.600565671920776  L:  [1.0, 1.0]
Epoch :  22  Rel. Train L2 Loss :  0.10056432843208313  Rel. Test L2 Loss :  0.09805555999279023  Test L2 Loss :  0.08107308268547059  Time :  9.609691858291626  L:  [1.0, 1.0]
Epoch :  23  Rel. Train L2 Loss :  0.10041392922401428  Rel. Test L2 Loss :  0.09826273500919341  Test L2 Loss :  0.08123942971229553  Time :  9.607898950576782  L:  [1.0, 1.0]
Epoch :  24  Rel. Train L2 Loss :  0.10103524553775788  Rel. Test L2 Loss :  0.09773643970489503  Test L2 Loss :  0.08083078801631928  Time :  9.646438360214233  L:  [1.0, 1.0]
Epoch :  25  Rel. Train L2 Loss :  0.10058025968074799  Rel. Test L2 Loss :  0.09734709680080414  Test L2 Loss :  0.08051922917366028  Time :  9.596027135848999  L:  [1.0, 1.0]
Epoch :  26  Rel. Train L2 Loss :  0.10074478471279144  Rel. Test L2 Loss :  0.09835556566715241  Test L2 Loss :  0.08131814241409302  Time :  9.578063488006592  L:  [1.0, 1.0]
Epoch :  27  Rel. Train L2 Loss :  0.10042296659946441  Rel. Test L2 Loss :  0.09739196300506592  Test L2 Loss :  0.08054864466190338  Time :  9.584430694580078  L:  [1.0, 1.0]
Epoch :  28  Rel. Train L2 Loss :  0.10041920912265778  Rel. Test L2 Loss :  0.09738723456859588  Test L2 Loss :  0.08054004311561584  Time :  9.494363784790039  L:  [1.0, 1.0]
Epoch :  29  Rel. Train L2 Loss :  0.10044805026054382  Rel. Test L2 Loss :  0.09788471758365631  Test L2 Loss :  0.08094324171543121  Time :  9.443979978561401  L:  [1.0, 1.0]
Epoch :  30  Rel. Train L2 Loss :  0.10058829951286316  Rel. Test L2 Loss :  0.09735014259815217  Test L2 Loss :  0.0805099630355835  Time :  9.372644424438477  L:  [1.0, 1.0]
Epoch :  31  Rel. Train L2 Loss :  0.10045990300178528  Rel. Test L2 Loss :  0.09734326779842377  Test L2 Loss :  0.08050547897815705  Time :  9.353923082351685  L:  [1.0, 1.0]
Epoch :  32  Rel. Train L2 Loss :  0.10047994470596314  Rel. Test L2 Loss :  0.09724015057086945  Test L2 Loss :  0.08042174875736237  Time :  9.335158109664917  L:  [1.0, 1.0]
Epoch :  33  Rel. Train L2 Loss :  0.10039863836765289  Rel. Test L2 Loss :  0.0976743197441101  Test L2 Loss :  0.08076961755752564  Time :  9.351351976394653  L:  [1.0, 1.0]
Epoch :  34  Rel. Train L2 Loss :  0.10035787379741669  Rel. Test L2 Loss :  0.09725287914276123  Test L2 Loss :  0.0804345154762268  Time :  9.4076566696167  L:  [1.0, 1.0]
Epoch :  35  Rel. Train L2 Loss :  0.10029445815086364  Rel. Test L2 Loss :  0.09781803667545319  Test L2 Loss :  0.08088073194026947  Time :  9.440364599227905  L:  [1.0, 1.0]
Epoch :  36  Rel. Train L2 Loss :  0.10043593549728394  Rel. Test L2 Loss :  0.0974364846944809  Test L2 Loss :  0.08057828545570374  Time :  9.461027383804321  L:  [1.0, 1.0]
Epoch :  37  Rel. Train L2 Loss :  0.10038485217094421  Rel. Test L2 Loss :  0.09714868485927582  Test L2 Loss :  0.08035333693027497  Time :  9.489514827728271  L:  [1.0, 1.0]
Epoch :  38  Rel. Train L2 Loss :  0.1004910705089569  Rel. Test L2 Loss :  0.0976233845949173  Test L2 Loss :  0.0807214891910553  Time :  9.517966270446777  L:  [1.0, 1.0]
