data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (221, 51) (221, 51)
x_train.shape:  (1000, 11271, 6)
y_train.shape:  (1000, 11271, 1)
initial L=[1.0, 1.0],should_learn_L=True,rank=16
In GeoFNO_train, ndim =  2
Epoch :  0  Rel. Train L2 Loss :  0.14942373824119567  Rel. Test L2 Loss :  0.11473952770233155  Test L2 Loss :  0.09489938735961914  Time :  16.567362308502197  L:  [0.9874510169029236, 0.9890551567077637]
Epoch :  1  Rel. Train L2 Loss :  0.1081068331003189  Rel. Test L2 Loss :  0.09933746874332428  Test L2 Loss :  0.08214922785758973  Time :  14.788336992263794  L:  [0.9892879724502563, 0.9887922406196594]
Epoch :  2  Rel. Train L2 Loss :  0.10155406248569489  Rel. Test L2 Loss :  0.09836476504802703  Test L2 Loss :  0.0813491290807724  Time :  14.939163446426392  L:  [0.9878016114234924, 0.9860845804214478]
Epoch :  3  Rel. Train L2 Loss :  0.10125631999969482  Rel. Test L2 Loss :  0.09791955411434174  Test L2 Loss :  0.08099412381649017  Time :  15.09950041770935  L:  [0.9872363805770874, 0.9833535552024841]
Epoch :  4  Rel. Train L2 Loss :  0.10099304509162903  Rel. Test L2 Loss :  0.09751666307449341  Test L2 Loss :  0.08066047251224517  Time :  15.234012603759766  L:  [0.9860798716545105, 0.9812434315681458]
Epoch :  5  Rel. Train L2 Loss :  0.1010338340997696  Rel. Test L2 Loss :  0.09766637086868286  Test L2 Loss :  0.08076023340225219  Time :  15.3834810256958  L:  [0.9848865270614624, 0.9798277616500854]
Epoch :  6  Rel. Train L2 Loss :  0.10077951431274414  Rel. Test L2 Loss :  0.09855836570262909  Test L2 Loss :  0.0814808177947998  Time :  15.420671463012695  L:  [0.9845089912414551, 0.9790984988212585]
Epoch :  7  Rel. Train L2 Loss :  0.10106477355957032  Rel. Test L2 Loss :  0.0980369508266449  Test L2 Loss :  0.08107950866222381  Time :  15.303993225097656  L:  [0.9839966893196106, 0.9776232838630676]
Epoch :  8  Rel. Train L2 Loss :  0.10090578091144561  Rel. Test L2 Loss :  0.09782149851322174  Test L2 Loss :  0.0808935934305191  Time :  15.11943006515503  L:  [0.984523355960846, 0.9769096970558167]
Epoch :  9  Rel. Train L2 Loss :  0.10054975271224975  Rel. Test L2 Loss :  0.0979588395357132  Test L2 Loss :  0.08100795090198516  Time :  15.060879707336426  L:  [0.984220027923584, 0.9772894382476807]
Epoch :  10  Rel. Train L2 Loss :  0.10077818739414215  Rel. Test L2 Loss :  0.0973130351305008  Test L2 Loss :  0.08049436926841735  Time :  15.084038496017456  L:  [0.9833843111991882, 0.9772146940231323]
Epoch :  11  Rel. Train L2 Loss :  0.10058776235580444  Rel. Test L2 Loss :  0.0973587268590927  Test L2 Loss :  0.08051644802093506  Time :  15.110878705978394  L:  [0.9823840260505676, 0.976523220539093]
Epoch :  12  Rel. Train L2 Loss :  0.10038025152683258  Rel. Test L2 Loss :  0.09757533311843872  Test L2 Loss :  0.0806906145811081  Time :  15.212779760360718  L:  [0.9828522801399231, 0.9774553179740906]
Epoch :  13  Rel. Train L2 Loss :  0.10057800233364106  Rel. Test L2 Loss :  0.09748379826545715  Test L2 Loss :  0.08062441110610961  Time :  15.323913097381592  L:  [0.9824424386024475, 0.9765699505805969]
Epoch :  14  Rel. Train L2 Loss :  0.1003459825515747  Rel. Test L2 Loss :  0.09724989056587219  Test L2 Loss :  0.08043753743171692  Time :  15.399810314178467  L:  [0.9825183749198914, 0.9775156378746033]
Epoch :  15  Rel. Train L2 Loss :  0.10082786870002747  Rel. Test L2 Loss :  0.09795607447624206  Test L2 Loss :  0.08103348076343536  Time :  15.448250532150269  L:  [0.9828278422355652, 0.9765555262565613]
Epoch :  16  Rel. Train L2 Loss :  0.1008100345134735  Rel. Test L2 Loss :  0.09755273640155793  Test L2 Loss :  0.08067599952220916  Time :  15.355852603912354  L:  [0.9828602075576782, 0.9768690466880798]
Epoch :  17  Rel. Train L2 Loss :  0.10047191274166108  Rel. Test L2 Loss :  0.09745816767215729  Test L2 Loss :  0.08060210168361664  Time :  15.15959882736206  L:  [0.9824532270431519, 0.977400541305542]
Epoch :  18  Rel. Train L2 Loss :  0.10035934948921203  Rel. Test L2 Loss :  0.09789851188659668  Test L2 Loss :  0.08094153106212616  Time :  15.029385805130005  L:  [0.9818889498710632, 0.9772051572799683]
Epoch :  19  Rel. Train L2 Loss :  0.10033625328540802  Rel. Test L2 Loss :  0.09748160004615784  Test L2 Loss :  0.08061093747615815  Time :  15.054946899414062  L:  [0.9823273420333862, 0.9777323603630066]
Epoch :  20  Rel. Train L2 Loss :  0.10038455700874328  Rel. Test L2 Loss :  0.09741035580635071  Test L2 Loss :  0.08056915700435638  Time :  15.10448694229126  L:  [0.9818800091743469, 0.9773164987564087]
Epoch :  21  Rel. Train L2 Loss :  0.10045249235630035  Rel. Test L2 Loss :  0.0979506504535675  Test L2 Loss :  0.08098799884319305  Time :  15.116729021072388  L:  [0.9818974733352661, 0.9783532023429871]
Epoch :  22  Rel. Train L2 Loss :  0.10062141191959381  Rel. Test L2 Loss :  0.09807118594646454  Test L2 Loss :  0.08108445823192596  Time :  15.157814741134644  L:  [0.9816750288009644, 0.9773460626602173]
Epoch :  23  Rel. Train L2 Loss :  0.10045443296432495  Rel. Test L2 Loss :  0.09858914375305176  Test L2 Loss :  0.08150556147098541  Time :  15.220076084136963  L:  [0.9824711680412292, 0.9771198630332947]
Epoch :  24  Rel. Train L2 Loss :  0.10114159834384918  Rel. Test L2 Loss :  0.09772088408470153  Test L2 Loss :  0.08081553101539612  Time :  15.26975154876709  L:  [0.98255854845047, 0.9760217666625977]
Epoch :  25  Rel. Train L2 Loss :  0.10059593486785888  Rel. Test L2 Loss :  0.09729398012161256  Test L2 Loss :  0.08047706425189972  Time :  15.282097101211548  L:  [0.9824057817459106, 0.9767526984214783]
Epoch :  26  Rel. Train L2 Loss :  0.10078670108318329  Rel. Test L2 Loss :  0.09845706701278686  Test L2 Loss :  0.08140092015266419  Time :  15.153321981430054  L:  [0.9827398657798767, 0.9772816896438599]
Epoch :  27  Rel. Train L2 Loss :  0.10046830558776855  Rel. Test L2 Loss :  0.09751058995723724  Test L2 Loss :  0.08064536154270172  Time :  15.010733842849731  L:  [0.9828454852104187, 0.9773057699203491]
Epoch :  28  Rel. Train L2 Loss :  0.10045284605026245  Rel. Test L2 Loss :  0.09753958761692047  Test L2 Loss :  0.08066407978534698  Time :  14.859431743621826  L:  [0.9831998348236084, 0.9777092933654785]
Epoch :  29  Rel. Train L2 Loss :  0.10050512170791626  Rel. Test L2 Loss :  0.09775284349918366  Test L2 Loss :  0.08083623588085175  Time :  14.846797704696655  L:  [0.9824416637420654, 0.9773075580596924]
Epoch :  30  Rel. Train L2 Loss :  0.10059485924243927  Rel. Test L2 Loss :  0.09727996945381165  Test L2 Loss :  0.08045479357242584  Time :  14.862825393676758  L:  [0.9824270606040955, 0.9776526689529419]
Epoch :  31  Rel. Train L2 Loss :  0.10049798786640167  Rel. Test L2 Loss :  0.09725723564624786  Test L2 Loss :  0.08043616771697998  Time :  14.881792545318604  L:  [0.9824140667915344, 0.9783110618591309]
Epoch :  32  Rel. Train L2 Loss :  0.10052099704742432  Rel. Test L2 Loss :  0.09721993267536164  Test L2 Loss :  0.08040614485740662  Time :  14.952713966369629  L:  [0.9832158088684082, 0.9776875972747803]
Epoch :  33  Rel. Train L2 Loss :  0.10039800524711609  Rel. Test L2 Loss :  0.0976575893163681  Test L2 Loss :  0.08075438559055328  Time :  15.057089567184448  L:  [0.9826207160949707, 0.9766119718551636]
Epoch :  34  Rel. Train L2 Loss :  0.10039440739154816  Rel. Test L2 Loss :  0.09730611443519592  Test L2 Loss :  0.08047786116600036  Time :  15.109230756759644  L:  [0.9830895066261292, 0.9772103428840637]
Epoch :  35  Rel. Train L2 Loss :  0.10032416081428527  Rel. Test L2 Loss :  0.09782411992549896  Test L2 Loss :  0.08088520526885987  Time :  15.106041431427002  L:  [0.9829585552215576, 0.9772168397903442]
Epoch :  36  Rel. Train L2 Loss :  0.10047537648677826  Rel. Test L2 Loss :  0.09749873697757722  Test L2 Loss :  0.08062801718711853  Time :  15.067680358886719  L:  [0.983058512210846, 0.9780816435813904]
Epoch :  37  Rel. Train L2 Loss :  0.10040695261955261  Rel. Test L2 Loss :  0.09715972661972046  Test L2 Loss :  0.08036328434944152  Time :  14.921256303787231  L:  [0.9827650785446167, 0.9779660701751709]
