data_in.shape: (1324, 421, 421)
data_out.shape (1324, 421, 421)
x_train.shape:  (1000, 44521, 5)
y_train.shape:  (1000, 44521, 1)
initial L=[1.0, 1.0],should_learn_L=False,rank=16
In GeoFNO_train, ndim =  2
Epoch :  0  Rel. Train L2 Loss :  0.4819936192035675  Rel. Test L2 Loss :  0.2908272385597229  Test L2 Loss :  0.001967334281653166  Time :  34.67806792259216  L:  [1.0, 1.0]
Epoch :  1  Rel. Train L2 Loss :  0.1460249212384224  Rel. Test L2 Loss :  0.10669523268938065  Test L2 Loss :  0.0007296141120605171  Time :  22.053043365478516  L:  [1.0, 1.0]
Epoch :  2  Rel. Train L2 Loss :  0.10141808408498763  Rel. Test L2 Loss :  0.09142413675785065  Test L2 Loss :  0.0006205771979875863  Time :  22.104514837265015  L:  [1.0, 1.0]
Epoch :  3  Rel. Train L2 Loss :  0.08832142812013626  Rel. Test L2 Loss :  0.07426732316613198  Test L2 Loss :  0.0005040367902256548  Time :  22.1704158782959  L:  [1.0, 1.0]
Epoch :  4  Rel. Train L2 Loss :  0.0764182588160038  Rel. Test L2 Loss :  0.07167526483535766  Test L2 Loss :  0.0004876543243881315  Time :  22.2443745136261  L:  [1.0, 1.0]
Epoch :  5  Rel. Train L2 Loss :  0.06244031146168709  Rel. Test L2 Loss :  0.054818485230207444  Test L2 Loss :  0.0003712647827342153  Time :  22.366661071777344  L:  [1.0, 1.0]
Epoch :  6  Rel. Train L2 Loss :  0.05603352382779121  Rel. Test L2 Loss :  0.05627739906311035  Test L2 Loss :  0.0003804385510738939  Time :  22.476818084716797  L:  [1.0, 1.0]
Epoch :  7  Rel. Train L2 Loss :  0.04888030591607094  Rel. Test L2 Loss :  0.04709761053323746  Test L2 Loss :  0.00031861252966336906  Time :  22.530850648880005  L:  [1.0, 1.0]
Epoch :  8  Rel. Train L2 Loss :  0.04484329974651337  Rel. Test L2 Loss :  0.04563491433858871  Test L2 Loss :  0.0003113640617812052  Time :  22.383421182632446  L:  [1.0, 1.0]
Epoch :  9  Rel. Train L2 Loss :  0.04309054839611053  Rel. Test L2 Loss :  0.040467942506074904  Test L2 Loss :  0.0002734462037915364  Time :  22.35051965713501  L:  [1.0, 1.0]
