data_in.shape: (1324, 421, 421)
data_out.shape (1324, 421, 421)
x_train.shape:  (1000, 44521, 5)
y_train.shape:  (1000, 44521, 1)
initial L=[1.0, 1.0],should_learn_L=True,rank=16
In GeoFNO_train, ndim =  2
Epoch :  0  Rel. Train L2 Loss :  0.44454535043239596  Rel. Test L2 Loss :  0.19040864646434785  Test L2 Loss :  0.0012770641641691328  Time :  38.51656627655029  L:  [0.9608145356178284, 0.964554488658905]
Epoch :  1  Rel. Train L2 Loss :  0.12991658180952073  Rel. Test L2 Loss :  0.09833848118782043  Test L2 Loss :  0.0006662028771825134  Time :  33.80010628700256  L:  [0.9730597138404846, 0.9773261547088623]
Epoch :  2  Rel. Train L2 Loss :  0.09872583192586899  Rel. Test L2 Loss :  0.08684230297803879  Test L2 Loss :  0.0005874481063801795  Time :  34.14084267616272  L:  [0.9775526523590088, 0.9810449481010437]
Epoch :  3  Rel. Train L2 Loss :  0.08452916550636291  Rel. Test L2 Loss :  0.07449393019080162  Test L2 Loss :  0.0005039400968234986  Time :  33.96893119812012  L:  [0.9796024560928345, 0.9833627939224243]
Epoch :  4  Rel. Train L2 Loss :  0.07319063457846642  Rel. Test L2 Loss :  0.06556463479995728  Test L2 Loss :  0.00044473153306171296  Time :  33.77893280982971  L:  [0.9814310073852539, 0.9844653010368347]
Epoch :  5  Rel. Train L2 Loss :  0.06260007402300835  Rel. Test L2 Loss :  0.056134292036294935  Test L2 Loss :  0.0003790415427647531  Time :  33.80549740791321  L:  [0.9828361868858337, 0.9857781529426575]
Epoch :  6  Rel. Train L2 Loss :  0.05553142368793487  Rel. Test L2 Loss :  0.05468238651752472  Test L2 Loss :  0.0003676940582226962  Time :  34.01461720466614  L:  [0.9839589595794678, 0.9867359399795532]
Epoch :  7  Rel. Train L2 Loss :  0.05057344228029251  Rel. Test L2 Loss :  0.04743948206305504  Test L2 Loss :  0.0003210514213424176  Time :  34.201515197753906  L:  [0.9846574664115906, 0.9874011278152466]
Epoch :  8  Rel. Train L2 Loss :  0.04504289200901985  Rel. Test L2 Loss :  0.04782396793365479  Test L2 Loss :  0.00032688063103705647  Time :  33.95547127723694  L:  [0.9854384660720825, 0.988455057144165]
Epoch :  9  Rel. Train L2 Loss :  0.04224930848181248  Rel. Test L2 Loss :  0.044172905236482624  Test L2 Loss :  0.00029918261687271295  Time :  33.809372425079346  L:  [0.9862743020057678, 0.9888330698013306]
