data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape: (1000, 11271, 6)
y_train.shape: (1000, 11271, 1)
TuckerGeoGkNO(
  (fc0): Linear(in_features=3, out_features=128, bias=True)
  (sp_convs): ModuleList(
    (0-3): 4 x TuckerGalerkinConv()
  )
  (ws): ModuleList(
    (0-3): 4 x Conv1d(128, 128, kernel_size=(1,), stride=(1,))
  )
  (fc1): Linear(in_features=128, out_features=128, bias=True)
  (fc2): Linear(in_features=128, out_features=1, bias=True)
)
In GeoFNO_train, ndim =  2
ep: 0  rel.train: 0.14672841334342956  rel.test: 0.12895577549934387  abs.test: 0.10661331713199615  time: 15.182893991470337
ep: 1  rel.train: 0.11441633212566375  rel.test: 0.10292174875736236  abs.test: 0.08514462351799011  time: 3.114198684692383
ep: 2  rel.train: 0.10432986402511597  rel.test: 0.09831655383110047  abs.test: 0.08131179511547089  time: 3.1188228130340576
ep: 3  rel.train: 0.09899416124820709  rel.test: 0.09329780638217926  abs.test: 0.07718828737735749  time: 3.1115150451660156
ep: 4  rel.train: 0.09191065907478332  rel.test: 0.08286062359809876  abs.test: 0.06845632374286652  time: 3.113539934158325
ep: 5  rel.train: 0.08481802928447724  rel.test: 0.08278389930725098  abs.test: 0.06840283870697021  time: 3.1163952350616455
ep: 6  rel.train: 0.08019850659370423  rel.test: 0.08138373136520385  abs.test: 0.06723972260951996  time: 3.1219615936279297
ep: 7  rel.train: 0.07989083826541901  rel.test: 0.07751592636108398  abs.test: 0.06404275119304657  time: 3.126371145248413
ep: 8  rel.train: 0.07839249134063721  rel.test: 0.07713117182254792  abs.test: 0.0637468546628952  time: 3.1360294818878174
ep: 9  rel.train: 0.07637383949756622  rel.test: 0.07441086828708648  abs.test: 0.06148989796638489  time: 3.1388344764709473
ep: 10  rel.train: 0.07598936688899995  rel.test: 0.07272643089294434  abs.test: 0.06009209990501404  time: 3.141080141067505
ep: 11  rel.train: 0.07247143328189849  rel.test: 0.06933844089508057  abs.test: 0.057284722924232485  time: 3.1412436962127686
ep: 12  rel.train: 0.06804613447189331  rel.test: 0.06523827791213989  abs.test: 0.05389950096607208  time: 3.1407179832458496
ep: 13  rel.train: 0.06518506705760956  rel.test: 0.06401426196098328  abs.test: 0.052891819179058074  time: 3.146895408630371
ep: 14  rel.train: 0.0631717334985733  rel.test: 0.06165717363357544  abs.test: 0.050927895307540896  time: 3.141322612762451
ep: 15  rel.train: 0.059555734038352966  rel.test: 0.056436318755149845  abs.test: 0.046615156531333926  time: 3.1428446769714355
ep: 16  rel.train: 0.05780565929412842  rel.test: 0.05574799001216888  abs.test: 0.046054066717624666  time: 3.139594078063965
ep: 17  rel.train: 0.05847553277015686  rel.test: 0.05458330988883972  abs.test: 0.04509810715913773  time: 3.1409480571746826
ep: 18  rel.train: 0.05609607374668121  rel.test: 0.0544139289855957  abs.test: 0.04493974059820175  time: 3.140944480895996
ep: 19  rel.train: 0.05488562315702438  rel.test: 0.05335808426141739  abs.test: 0.04407272219657898  time: 3.1496224403381348
ep: 20  rel.train: 0.053958982408046724  rel.test: 0.05214630246162415  abs.test: 0.04307323485612869  time: 3.1399271488189697
ep: 21  rel.train: 0.052560362935066225  rel.test: 0.05418792724609375  abs.test: 0.04475471675395966  time: 3.139453411102295
ep: 22  rel.train: 0.0542911428809166  rel.test: 0.05195491850376129  abs.test: 0.0429018834233284  time: 3.1397433280944824
ep: 23  rel.train: 0.05262480527162552  rel.test: 0.051541459560394284  abs.test: 0.04257026553153992  time: 3.1393706798553467
ep: 24  rel.train: 0.05186559516191482  rel.test: 0.05043967485427856  abs.test: 0.04165568143129349  time: 3.1381120681762695
ep: 25  rel.train: 0.05159169101715088  rel.test: 0.05400359153747559  abs.test: 0.044604202806949614  time: 3.1428382396698
ep: 26  rel.train: 0.053574036240577695  rel.test: 0.05063877046108246  abs.test: 0.04182191848754883  time: 3.1392629146575928
ep: 27  rel.train: 0.05025098341703415  rel.test: 0.04907599061727524  abs.test: 0.040534354746341705  time: 3.1394505500793457
ep: 28  rel.train: 0.04951972687244415  rel.test: 0.0499382084608078  abs.test: 0.0412481689453125  time: 3.1407644748687744
ep: 29  rel.train: 0.04993867254257202  rel.test: 0.05122016429901123  abs.test: 0.042301880419254305  time: 3.1412413120269775
ep: 30  rel.train: 0.05247705626487732  rel.test: 0.054338895082473755  abs.test: 0.044869733452796934  time: 3.145536184310913
ep: 31  rel.train: 0.050699678122997284  rel.test: 0.050549113750457765  abs.test: 0.041746284365653995  time: 3.1504056453704834
ep: 32  rel.train: 0.050882426738739016  rel.test: 0.04873824179172516  abs.test: 0.04025568276643753  time: 3.143075704574585
ep: 33  rel.train: 0.04892343407869339  rel.test: 0.049152744114398954  abs.test: 0.04059904485940933  time: 3.1454567909240723
ep: 34  rel.train: 0.04848752325773239  rel.test: 0.04739206522703171  abs.test: 0.03913626104593277  time: 3.1437625885009766
ep: 35  rel.train: 0.04974410849809647  rel.test: 0.04748926609754563  abs.test: 0.03922134667634964  time: 3.150813102722168
ep: 36  rel.train: 0.04753812915086746  rel.test: 0.047704748809337616  abs.test: 0.039392031729221344  time: 3.158808708190918
ep: 37  rel.train: 0.047721228241920474  rel.test: 0.04654808133840561  abs.test: 0.03843612402677536  time: 3.1574647426605225
ep: 38  rel.train: 0.047716089129447935  rel.test: 0.04841652452945709  abs.test: 0.039984774887561796  time: 3.163046360015869
ep: 39  rel.train: 0.046420918822288514  rel.test: 0.045165187418460845  abs.test: 0.03729277521371841  time: 3.1661903858184814
ep: 40  rel.train: 0.046264834105968475  rel.test: 0.05182169765233993  abs.test: 0.04279816597700119  time: 3.1763546466827393
ep: 41  rel.train: 0.050293224215507505  rel.test: 0.048971027135849  abs.test: 0.04045087277889252  time: 3.1782147884368896
ep: 42  rel.train: 0.04700866633653641  rel.test: 0.04620516240596771  abs.test: 0.038155577182769775  time: 3.187027931213379
ep: 43  rel.train: 0.04617008888721466  rel.test: 0.04515023350715637  abs.test: 0.037284669578075406  time: 3.1872270107269287
ep: 44  rel.train: 0.048740504026412966  rel.test: 0.04645129531621933  abs.test: 0.03836621105670929  time: 3.196772336959839
ep: 45  rel.train: 0.047663056671619415  rel.test: 0.04557867020368576  abs.test: 0.03764067679643631  time: 3.1991500854492188
ep: 46  rel.train: 0.047178979575634  rel.test: 0.05047567218542099  abs.test: 0.04168470948934555  time: 3.2043983936309814
ep: 47  rel.train: 0.04601077151298523  rel.test: 0.046882392168045045  abs.test: 0.03870747148990631  time: 3.208390951156616
ep: 48  rel.train: 0.047765514373779294  rel.test: 0.04551487475633621  abs.test: 0.037588147819042204  time: 3.2157132625579834
ep: 49  rel.train: 0.046406620800495145  rel.test: 0.046006792783737184  abs.test: 0.037983692586421966  time: 3.221301555633545
ep: 50  rel.train: 0.04661250531673431  rel.test: 0.04669180750846863  abs.test: 0.038549995124340056  time: 3.224297523498535
ep: 51  rel.train: 0.04623857849836349  rel.test: 0.04440020054578781  abs.test: 0.036656037867069245  time: 3.2192208766937256
ep: 52  rel.train: 0.04737726145982742  rel.test: 0.044867990016937254  abs.test: 0.03705359995365143  time: 3.206860303878784
ep: 53  rel.train: 0.04520869922637939  rel.test: 0.04565326005220413  abs.test: 0.037710685729980466  time: 3.2015535831451416
ep: 54  rel.train: 0.044737919509410855  rel.test: 0.04461747139692306  abs.test: 0.036846403181552884  time: 3.1839873790740967
ep: 55  rel.train: 0.04513220638036728  rel.test: 0.04439449787139892  abs.test: 0.03665712028741837  time: 3.175428867340088
ep: 56  rel.train: 0.04826548331975937  rel.test: 0.049549157917499545  abs.test: 0.04091640174388886  time: 3.1674177646636963
ep: 57  rel.train: 0.04876661890745163  rel.test: 0.046562409102916716  abs.test: 0.038466075956821444  time: 3.156248092651367
ep: 58  rel.train: 0.04520730197429657  rel.test: 0.04481897056102753  abs.test: 0.03701788455247879  time: 3.154683828353882
ep: 59  rel.train: 0.04661130511760712  rel.test: 0.04393054783344269  abs.test: 0.036275835633277895  time: 3.1577188968658447
ep: 60  rel.train: 0.04626359021663666  rel.test: 0.04433888405561447  abs.test: 0.036632899343967434  time: 3.1476123332977295
ep: 61  rel.train: 0.043394747078418734  rel.test: 0.04509022563695907  abs.test: 0.037237992882728575  time: 3.144737958908081
ep: 62  rel.train: 0.04365158826112747  rel.test: 0.047530077397823334  abs.test: 0.03924391120672226  time: 3.140528678894043
ep: 63  rel.train: 0.04517239618301391  rel.test: 0.042844820320606235  abs.test: 0.035376359224319455  time: 3.140763521194458
ep: 64  rel.train: 0.04330728954076767  rel.test: 0.04243734031915665  abs.test: 0.0350416699051857  time: 3.1465160846710205
ep: 65  rel.train: 0.043624313712120055  rel.test: 0.04473713964223862  abs.test: 0.03693612366914749  time: 3.1400516033172607
ep: 66  rel.train: 0.0468310010433197  rel.test: 0.058773683309555055  abs.test: 0.04854808837175369  time: 3.1388683319091797
