data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape: (1000, 11271, 6)
y_train.shape: (1000, 11271, 1)
rank:[32, 32, 32, 32]
TuckerGeoGkNO(
  (fc0): Linear(in_features=3, out_features=128, bias=True)
  (sp_convs): ModuleList(
    (0-3): 4 x TuckerGalerkinConv()
  )
  (ws): ModuleList(
    (0-3): 4 x Conv1d(128, 128, kernel_size=(1,), stride=(1,))
  )
  (fc1): Linear(in_features=128, out_features=128, bias=True)
  (fc2): Linear(in_features=128, out_features=1, bias=True)
)
In GeoFNO_train, ndim =  2
ep: 0  rel.train: 0.15576565861701966  rel.test: 0.14056413412094115  abs.test: 0.11622008442878723  time: 5.07988166809082
ep: 1  rel.train: 0.13383229970932006  rel.test: 0.118815758228302  abs.test: 0.0982660174369812  time: 3.0916473865509033
ep: 2  rel.train: 0.11043017888069152  rel.test: 0.10104874551296233  abs.test: 0.08358574390411377  time: 3.092555522918701
ep: 3  rel.train: 0.10256654024124146  rel.test: 0.09765965700149536  abs.test: 0.08078517973423004  time: 3.09234356880188
ep: 4  rel.train: 0.09979676258563995  rel.test: 0.09572629988193512  abs.test: 0.07919135987758637  time: 3.0927979946136475
ep: 5  rel.train: 0.09820203292369843  rel.test: 0.09418776869773865  abs.test: 0.07792133033275604  time: 3.092134475708008
ep: 6  rel.train: 0.09619481122493743  rel.test: 0.09313035070896149  abs.test: 0.07703754603862763  time: 3.0933501720428467
ep: 7  rel.train: 0.08708236348628998  rel.test: 0.07781045317649841  abs.test: 0.06430647253990174  time: 3.091641664505005
ep: 8  rel.train: 0.08052569496631622  rel.test: 0.07931418716907501  abs.test: 0.06553798794746399  time: 3.093015670776367
ep: 9  rel.train: 0.07600530874729157  rel.test: 0.0730177640914917  abs.test: 0.06031796813011169  time: 3.0962624549865723
ep: 10  rel.train: 0.0749153813123703  rel.test: 0.07087247371673584  abs.test: 0.058563642501831055  time: 3.091341257095337
ep: 11  rel.train: 0.07360111141204834  rel.test: 0.07324245810508728  abs.test: 0.06050503492355347  time: 3.0913445949554443
ep: 12  rel.train: 0.07481031167507171  rel.test: 0.07073271334171295  abs.test: 0.05844782769680023  time: 3.0960452556610107
ep: 13  rel.train: 0.07115883350372315  rel.test: 0.07001291692256928  abs.test: 0.05785626351833344  time: 3.0947301387786865
ep: 14  rel.train: 0.06957326579093934  rel.test: 0.06477096498012543  abs.test: 0.053518674075603484  time: 3.096351146697998
ep: 15  rel.train: 0.06643564701080322  rel.test: 0.06540374636650086  abs.test: 0.05404568195343017  time: 3.0936686992645264
ep: 16  rel.train: 0.06728800809383392  rel.test: 0.07037772357463837  abs.test: 0.05813474714756012  time: 3.093855857849121
ep: 17  rel.train: 0.0650017123222351  rel.test: 0.06230458378791809  abs.test: 0.051470600962638856  time: 3.0950980186462402
ep: 18  rel.train: 0.06109500682353974  rel.test: 0.05781704425811768  abs.test: 0.047797666490077974  time: 3.0969693660736084
ep: 19  rel.train: 0.06116146862506867  rel.test: 0.0647424215078354  abs.test: 0.05347888886928558  time: 3.0993502140045166
ep: 20  rel.train: 0.06017418187856674  rel.test: 0.05886851668357849  abs.test: 0.04864441305398941  time: 3.101276159286499
ep: 21  rel.train: 0.05522182559967041  rel.test: 0.056696321666240695  abs.test: 0.04684028685092926  time: 3.1034834384918213
ep: 22  rel.train: 0.059455012083053586  rel.test: 0.05581927239894867  abs.test: 0.04612295389175415  time: 3.1022119522094727
ep: 23  rel.train: 0.05937937605381012  rel.test: 0.06175832033157349  abs.test: 0.05101227432489395  time: 3.103701114654541
ep: 24  rel.train: 0.0578982657790184  rel.test: 0.05025705933570862  abs.test: 0.041524516344070436  time: 3.109389066696167
ep: 25  rel.train: 0.051590516448020936  rel.test: 0.05282402247190476  abs.test: 0.04363453090190887  time: 3.1104674339294434
ep: 26  rel.train: 0.055429198503494266  rel.test: 0.05133897632360458  abs.test: 0.04241119533777237  time: 3.114685535430908
ep: 27  rel.train: 0.054983369350433346  rel.test: 0.05430399060249329  abs.test: 0.044870716035366055  time: 3.1157000064849854
ep: 28  rel.train: 0.05518076753616333  rel.test: 0.04909473210573197  abs.test: 0.0405544638633728  time: 3.1172690391540527
ep: 29  rel.train: 0.05467299365997314  rel.test: 0.051691569089889526  abs.test: 0.04270328789949417  time: 3.118807077407837
ep: 30  rel.train: 0.05583052390813827  rel.test: 0.05434690654277802  abs.test: 0.04489269465208054  time: 3.1198554039001465
ep: 31  rel.train: 0.05392734301090241  rel.test: 0.049910392165184024  abs.test: 0.04123689740896225  time: 3.1201436519622803
ep: 32  rel.train: 0.050992344439029696  rel.test: 0.05140000462532043  abs.test: 0.04244913995265961  time: 3.1207947731018066
ep: 33  rel.train: 0.05207799810171127  rel.test: 0.055219518542289736  abs.test: 0.045621277987957  time: 3.120859384536743
