Loaded 10000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_single.npz
Loaded 2000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_two_curves.npz
x_train shape torch.Size([8000, 1000, 5]), x_test shape [torch.Size([1000, 1000, 5]), torch.Size([1000, 2000, 5])], y_train shape torch.Size([8000, 1000, 1]), y_test shape [torch.Size([1000, 1000, 1]), torch.Size([1000, 2000, 1])]
Domain range per dimension:  tensor([4.9995503425598145, 4.9999494552612305])
------Parameters------
kmax = 16
n_train = 8000, n_test = 1000
L = 10
Shape of Fourier modes:  (544, 2, 1)
layer_selection = {'grad': False, 'geo': False, 'geointegral': True}
layers = [64, 64, 64, 64, 64, 64]
activation = gelu
geo_activation = softsign
batch_size 8 

In MPCNO_train, ndims =  2
Epoch :  0  Time:  23.744  Rel. Train L2 Loss :  0.3023110187202692  Rel. Test L2 Loss :  {'Default': 0.17506983488798142, 'Two Circles': 0.35494594132900237}  Test L2 Loss :  {'Default': 0.7267904753684997, 'Two Circles': 2.69305521774292}  inv_L_scale:  [1.0, 1.0]
Epoch :  1  Time:  19.364  Rel. Train L2 Loss :  0.12965039161592723  Rel. Test L2 Loss :  {'Default': 0.1299744906425476, 'Two Circles': 0.3054005281925201}  Test L2 Loss :  {'Default': 0.523660471200943, 'Two Circles': 2.3066936655044556}  inv_L_scale:  [1.0, 1.0]
Epoch :  2  Time:  19.336  Rel. Train L2 Loss :  0.10158535752817989  Rel. Test L2 Loss :  {'Default': 0.10711077409982682, 'Two Circles': 0.28053387701511384}  Test L2 Loss :  {'Default': 0.43325615191459654, 'Two Circles': 2.132894470691681}  inv_L_scale:  [1.0, 1.0]
Epoch :  3  Time:  19.365  Rel. Train L2 Loss :  0.08914294370263814  Rel. Test L2 Loss :  {'Default': 0.08911381262540817, 'Two Circles': 0.26210632622241975}  Test L2 Loss :  {'Default': 0.36772880923748014, 'Two Circles': 2.005200617313385}  inv_L_scale:  [1.0, 1.0]
Epoch :  4  Time:  19.36  Rel. Train L2 Loss :  0.08019381038472057  Rel. Test L2 Loss :  {'Default': 0.09537959545850754, 'Two Circles': 0.2625333664417267}  Test L2 Loss :  {'Default': 0.383320113658905, 'Two Circles': 1.9951826872825622}  inv_L_scale:  [1.0, 1.0]
Epoch :  5  Time:  19.355  Rel. Train L2 Loss :  0.07356513607874512  Rel. Test L2 Loss :  {'Default': 0.0815188347697258, 'Two Circles': 0.2449745168685913}  Test L2 Loss :  {'Default': 0.33119840717315674, 'Two Circles': 1.868778157234192}  inv_L_scale:  [1.0, 1.0]
Epoch :  6  Time:  19.354  Rel. Train L2 Loss :  0.06938504952564836  Rel. Test L2 Loss :  {'Default': 0.07247403019666672, 'Two Circles': 0.24702907955646514}  Test L2 Loss :  {'Default': 0.2990834323167801, 'Two Circles': 1.8923367400169373}  inv_L_scale:  [1.0, 1.0]
Epoch :  7  Time:  19.351  Rel. Train L2 Loss :  0.0656781291179359  Rel. Test L2 Loss :  {'Default': 0.07080522912740707, 'Two Circles': 0.22965584367513656}  Test L2 Loss :  {'Default': 0.28960998541116717, 'Two Circles': 1.7538477439880371}  inv_L_scale:  [1.0, 1.0]
Epoch :  8  Time:  19.348  Rel. Train L2 Loss :  0.062182567328214644  Rel. Test L2 Loss :  {'Default': 0.06872161626815795, 'Two Circles': 0.2444479859471321}  Test L2 Loss :  {'Default': 0.2790259840488434, 'Two Circles': 1.857323103427887}  inv_L_scale:  [1.0, 1.0]
Epoch :  9  Time:  19.33  Rel. Train L2 Loss :  0.06082896596938372  Rel. Test L2 Loss :  {'Default': 0.06845508426427842, 'Two Circles': 0.23361001396179198}  Test L2 Loss :  {'Default': 0.2778260415792465, 'Two Circles': 1.7904823031425476}  inv_L_scale:  [1.0, 1.0]
Epoch :  10  Time:  19.378  Rel. Train L2 Loss :  0.05826417874917388  Rel. Test L2 Loss :  {'Default': 0.0607892738878727, 'Two Circles': 0.23150430887937545}  Test L2 Loss :  {'Default': 0.24856648033857345, 'Two Circles': 1.7579609322547913}  inv_L_scale:  [1.0, 1.0]
