nodesweight; nosoftsign
Casting to tensor
torch.Size([1000, 35986, 2])
torch.Size([1000, 35986])
Lx, Ly =  4.0 4.0
In GeoKNO_train, ndims =  2
Epoch :  0  Rel. Train L2 Loss :  0.8729116382598877  Rel. Test L2 Loss :  0.457053596496582  L adjust: ['0.995603', '1.003462']  time :  92.63281798362732
Epoch :  1  Rel. Train L2 Loss :  0.3692718300819397  Rel. Test L2 Loss :  0.3195763540267944  L adjust: ['0.995615', '1.003661']  time :  87.73391318321228
Epoch :  2  Rel. Train L2 Loss :  0.26862115573883055  Rel. Test L2 Loss :  0.20992959594726562  L adjust: ['0.995604', '1.003685']  time :  87.38049077987671
Epoch :  3  Rel. Train L2 Loss :  0.13429409742355347  Rel. Test L2 Loss :  0.1486956582069397  L adjust: ['0.995621', '1.003743']  time :  88.05694627761841
Epoch :  4  Rel. Train L2 Loss :  0.1138070957660675  Rel. Test L2 Loss :  0.1391949200630188  L adjust: ['0.995659', '1.003708']  time :  87.79013514518738
Epoch :  5  Rel. Train L2 Loss :  0.10084644651412963  Rel. Test L2 Loss :  0.13610431623458863  L adjust: ['0.995596', '1.003726']  time :  87.52459931373596
Epoch :  6  Rel. Train L2 Loss :  0.08893209779262543  Rel. Test L2 Loss :  0.1354213056564331  L adjust: ['0.995670', '1.003707']  time :  88.173832654953
Epoch :  7  Rel. Train L2 Loss :  0.08171674501895905  Rel. Test L2 Loss :  0.13226847076416015  L adjust: ['0.995636', '1.003600']  time :  87.61655807495117
Epoch :  8  Rel. Train L2 Loss :  0.0775130307674408  Rel. Test L2 Loss :  0.1286033501625061  L adjust: ['0.995634', '1.003705']  time :  87.93664145469666
Epoch :  9  Rel. Train L2 Loss :  0.07548276066780091  Rel. Test L2 Loss :  0.13049945306777955  L adjust: ['0.995567', '1.003750']  time :  88.29556846618652
Epoch :  10  Rel. Train L2 Loss :  0.0738663536310196  Rel. Test L2 Loss :  0.12979921245574952  L adjust: ['0.995523', '1.003755']  time :  87.76111674308777
Epoch :  11  Rel. Train L2 Loss :  0.06999908196926118  Rel. Test L2 Loss :  0.1280083589553833  L adjust: ['0.995655', '1.003644']  time :  88.25662088394165
Epoch :  12  Rel. Train L2 Loss :  0.06746733736991882  Rel. Test L2 Loss :  0.12669609546661376  L adjust: ['0.995594', '1.003694']  time :  87.88252544403076
Epoch :  13  Rel. Train L2 Loss :  0.06635370934009552  Rel. Test L2 Loss :  0.12818175554275513  L adjust: ['0.995614', '1.003850']  time :  88.12446212768555
Epoch :  14  Rel. Train L2 Loss :  0.06598144972324371  Rel. Test L2 Loss :  0.12529700565338134  L adjust: ['0.995613', '1.003720']  time :  88.42600607872009
Epoch :  15  Rel. Train L2 Loss :  0.06535709607601166  Rel. Test L2 Loss :  0.1280876064300537  L adjust: ['0.995669', '1.003725']  time :  87.76871228218079
