equalweight; no softsign
Casting to tensor
torch.Size([1000, 35986, 2])
torch.Size([1000, 35986])
Lx, Ly =  4.0 4.0
In GeoKNO_train, ndims =  2
Epoch :  0  Rel. Train L2 Loss :  0.3395481081008911  Rel. Test L2 Loss :  0.2793638954162598  L adjust: ['0.994155', '1.005038']  time :  92.00103855133057
Epoch :  1  Rel. Train L2 Loss :  0.16529924178123473  Rel. Test L2 Loss :  0.09612851047515869  L adjust: ['0.994494', '1.004994']  time :  86.83455491065979
Epoch :  2  Rel. Train L2 Loss :  0.0870328117609024  Rel. Test L2 Loss :  0.08289031934738159  L adjust: ['0.994650', '1.004928']  time :  86.38787150382996
Epoch :  3  Rel. Train L2 Loss :  0.07575030565261841  Rel. Test L2 Loss :  0.07688978219032287  L adjust: ['0.994325', '1.005051']  time :  86.8969669342041
Epoch :  4  Rel. Train L2 Loss :  0.0661375983953476  Rel. Test L2 Loss :  0.07091248822212219  L adjust: ['0.994264', '1.005075']  time :  86.5157539844513
Epoch :  5  Rel. Train L2 Loss :  0.059184735417366026  Rel. Test L2 Loss :  0.06824889993667603  L adjust: ['0.994321', '1.005176']  time :  86.8429958820343
Epoch :  6  Rel. Train L2 Loss :  0.05659349501132965  Rel. Test L2 Loss :  0.0677700309753418  L adjust: ['0.994434', '1.004914']  time :  86.94094681739807
Epoch :  7  Rel. Train L2 Loss :  0.05561069685220718  Rel. Test L2 Loss :  0.06574491667747498  L adjust: ['0.994224', '1.004906']  time :  86.44256782531738
Epoch :  8  Rel. Train L2 Loss :  0.05144937056303024  Rel. Test L2 Loss :  0.06588625383377075  L adjust: ['0.994423', '1.004992']  time :  86.53237891197205
Epoch :  9  Rel. Train L2 Loss :  0.049475394904613494  Rel. Test L2 Loss :  0.06736538696289063  L adjust: ['0.994349', '1.004536']  time :  86.301029920578
Epoch :  10  Rel. Train L2 Loss :  0.04999446320533753  Rel. Test L2 Loss :  0.06568932342529298  L adjust: ['0.994517', '1.004728']  time :  86.67516469955444
Epoch :  11  Rel. Train L2 Loss :  0.046333325803279875  Rel. Test L2 Loss :  0.06272396326065063  L adjust: ['0.994567', '1.004421']  time :  86.79814052581787
Epoch :  12  Rel. Train L2 Loss :  0.04449456632137298  Rel. Test L2 Loss :  0.06282359457015992  L adjust: ['0.994413', '1.004730']  time :  86.54969453811646
Epoch :  13  Rel. Train L2 Loss :  0.04588135784864426  Rel. Test L2 Loss :  0.062408485651016234  L adjust: ['0.994436', '1.004842']  time :  86.8449604511261
Epoch :  14  Rel. Train L2 Loss :  0.04560288447141647  Rel. Test L2 Loss :  0.058945008516311646  L adjust: ['0.994296', '1.004998']  time :  86.68340063095093
Epoch :  15  Rel. Train L2 Loss :  0.04414743596315384  Rel. Test L2 Loss :  0.06201274943351746  L adjust: ['0.994591', '1.004480']  time :  86.53241991996765
