equalweight; learn L
Casting to tensor
torch.Size([1000, 35986, 2])
torch.Size([1000, 35986])
Lx, Ly =  4.0 4.0
In GeoKNO_train, ndims =  2
Epoch :  0  Rel. Train L2 Loss :  0.28930421137809753  Rel. Test L2 Loss :  0.15154684829711915  L adjust: ['0.999507', '0.999679']  time :  98.75024700164795
Epoch :  1  Rel. Train L2 Loss :  0.10925985479354858  Rel. Test L2 Loss :  0.08821279859542847  L adjust: ['0.999523', '0.999812']  time :  97.25295495986938
Epoch :  2  Rel. Train L2 Loss :  0.08348839139938355  Rel. Test L2 Loss :  0.08106156253814698  L adjust: ['0.999356', '0.999703']  time :  97.56339693069458
Epoch :  3  Rel. Train L2 Loss :  0.07673524975776673  Rel. Test L2 Loss :  0.07446053504943848  L adjust: ['0.999502', '0.998792']  time :  97.51411652565002
Epoch :  4  Rel. Train L2 Loss :  0.06755684292316437  Rel. Test L2 Loss :  0.07469769382476807  L adjust: ['0.999465', '0.999992']  time :  97.80649518966675
Epoch :  5  Rel. Train L2 Loss :  0.06347534835338592  Rel. Test L2 Loss :  0.06577812957763672  L adjust: ['0.999307', '0.999450']  time :  97.66312718391418
Epoch :  6  Rel. Train L2 Loss :  0.059505815744400024  Rel. Test L2 Loss :  0.06709061002731323  L adjust: ['0.999089', '0.999961']  time :  97.3616509437561
Epoch :  7  Rel. Train L2 Loss :  0.05917916202545166  Rel. Test L2 Loss :  0.0656457018852234  L adjust: ['0.999341', '1.000587']  time :  97.46802806854248
Epoch :  8  Rel. Train L2 Loss :  0.055848808050155636  Rel. Test L2 Loss :  0.06422971558570861  L adjust: ['0.999436', '0.999526']  time :  97.59909701347351
Epoch :  9  Rel. Train L2 Loss :  0.052789637923240665  Rel. Test L2 Loss :  0.06393554210662841  L adjust: ['0.999189', '0.999193']  time :  97.47129416465759
Epoch :  10  Rel. Train L2 Loss :  0.05077365320920944  Rel. Test L2 Loss :  0.06183239603042603  L adjust: ['0.999896', '0.999647']  time :  97.34114146232605
Epoch :  11  Rel. Train L2 Loss :  0.04737873286008835  Rel. Test L2 Loss :  0.06309618830680847  L adjust: ['0.999104', '0.999110']  time :  97.61392331123352
Epoch :  12  Rel. Train L2 Loss :  0.054394202589988706  Rel. Test L2 Loss :  0.06742830348014832  L adjust: ['0.999701', '1.000067']  time :  98.26841878890991
Epoch :  13  Rel. Train L2 Loss :  0.05036817848682404  Rel. Test L2 Loss :  0.06027023839950561  L adjust: ['0.999281', '0.999738']  time :  97.73809576034546
Epoch :  14  Rel. Train L2 Loss :  0.04578779280185699  Rel. Test L2 Loss :  0.059520636558532715  L adjust: ['0.999291', '0.999027']  time :  97.5952467918396
Epoch :  15  Rel. Train L2 Loss :  0.04569539815187454  Rel. Test L2 Loss :  0.06144721388816834  L adjust: ['0.999533', '1.000265']  time :  97.37655091285706
